ticker,GSDC US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2003-10-09,82.6087
2003-10-10,142.8571
2003-10-13,39.2157
2003-10-15,7.0423
2006-03-07,10557.8947
2006-03-08,-7.4074
2006-03-14,0.0
2006-04-07,0.0
2006-04-12,-19.2
2006-04-20,23.7624
2006-04-21,0.0
2006-04-24,-4.0
2006-05-11,-8.3333
2006-06-27,0.0
2006-07-20,-40.9091
2006-12-18,-53.8462
2007-01-03,0.0
2007-01-04,-2.6667
2007-01-10,2.7397
2007-02-23,33.3333
2007-02-26,20.0
2007-02-27,2.0833
2007-02-28,-6.1224
2007-03-01,-8.6957
2007-03-05,-2.3810000000000002
2007-03-08,17.0732
2007-03-09,22.9167
2007-03-12,-15.2542
2007-03-13,8.0
2007-03-14,-7.4074
2007-03-15,4.0
2007-03-16,-7.6923
2007-03-19,8.3333
2007-03-20,1.9231
2007-03-21,-5.6604
2007-03-22,6.0
2007-03-23,-4.717
2007-03-26,0.0
2007-03-27,-6.9307
2007-03-28,12.766
2007-03-29,-3.7736
2007-03-30,-1.9607999999999999
2007-04-02,-6.0
2007-04-03,-4.2553
2007-04-04,11.1111
2007-04-05,-1.0
2007-04-09,-9.0909
2007-04-10,0.0
2007-04-11,8.8889
2007-04-13,2.0408
2007-04-16,-2.0
2007-04-17,2.0408
2007-04-18,2.0
2007-04-19,3.9215999999999998
2007-04-20,-3.7736
2007-04-23,-1.9607999999999999
2007-04-24,0.0
2007-04-25,2.0
2007-04-26,-1.9607999999999999
2007-04-27,0.0
2007-04-30,-4.0
2007-05-02,-4.1667
2007-05-04,-4.3478
2007-05-07,18.1818
2007-05-08,7.6923
2007-05-09,0.0
2007-05-10,-1.7856999999999998
2007-05-11,-3.6364
2007-05-14,0.0
2007-05-15,-5.6604
2007-05-16,0.0
2007-05-18,0.0
2007-05-21,0.0
2007-05-22,-2.0
2007-05-23,2.0408
2007-05-24,-4.0
2007-05-25,4.1667
2007-05-29,0.0
2007-05-30,-2.0
2007-05-31,-8.9796
2007-06-01,7.6233
2007-06-04,0.0
2007-06-05,-16.6667
2007-06-06,-20.0
2007-06-07,18.75
2007-06-08,5.2632
2007-06-11,0.0
2007-06-13,-5.0
2007-06-14,-15.7895
2007-06-15,25.0
2007-06-18,0.0
2007-06-19,-12.5
2007-06-20,0.0
2007-06-25,-8.5714
2007-06-26,6.25
2007-06-27,0.0
2007-06-28,0.0
2007-06-29,0.0
2007-07-02,-5.8824
2007-07-03,0.0
2007-07-05,-6.25
