ticker,MVBF US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-07,0.0
2001-03-23,0.0
2002-03-11,9.7727
2002-03-15,0.0
2002-05-21,0.0
2003-09-09,13.0435
2003-11-11,0.0
2003-12-09,0.0
2004-04-06,0.0
2005-07-19,29.2308
2005-08-26,0.0
2005-08-29,3.125
2005-10-31,-3.0303
2005-12-22,6.25
2006-02-23,-5.8824
2006-02-27,-0.9375
2006-03-28,2.5237
2006-05-17,0.0
2006-06-12,3.0769
2006-06-27,0.0
2006-07-14,-1.4925
2006-07-26,-7.5758
2006-08-14,9.8361
2006-09-21,-10.4478
2006-09-26,8.3333
2006-09-29,3.0769
2007-02-16,0.0
2007-02-21,3.5821
2007-04-13,-2.0173
2008-02-27,17.647100000000002
2008-03-19,0.0
2008-08-22,-25.0
2009-04-08,34.2282
2009-05-29,0.0
2009-07-06,0.0
2009-07-10,-2.5
2009-07-13,2.5641
2009-09-22,-12.5
2009-09-25,9.7143
2009-10-05,-11.4583
2009-10-09,-5.8824
2009-10-15,25.0
2009-12-22,-1.5074999999999998
2010-05-21,-13.2653
2010-05-26,5.8824
2010-06-28,-5.5556
2010-08-12,11.7647
2010-09-28,-5.2632
2010-12-15,-2.2346
2010-12-30,14.2857
2011-01-14,0.0
2011-01-25,-1.0
2011-04-04,5.5556
2011-05-12,-2.6316
2011-06-07,8.1081
2011-06-09,-6.25
2011-08-17,2.6667
2011-09-14,-1.2987
2011-09-27,-2.6316
2011-09-30,5.4054
2011-10-14,2.5641
2011-12-12,-34.6734
2011-12-30,29.2308
2012-01-26,8.631
2012-02-22,20.5479
2012-04-17,-0.2273
2012-05-08,0.5011
2012-05-09,1.9946000000000002
2012-06-06,-1.9171
2012-06-07,2.2727
2012-06-13,-2.1778
2012-06-14,0.0
2012-07-24,0.4543
2012-07-25,-9.5432
2012-07-30,18.5
2012-07-31,1.2658
2012-08-27,-2.0833
2012-09-07,1.0638
2012-09-10,-3.1579
2012-09-11,0.6522
2012-09-12,2.3758
2012-09-17,0.211
2012-09-20,0.0
2012-09-21,-2.9474
2012-09-26,3.0369
2012-09-27,0.0
2012-10-01,-1.0526
2012-10-02,0.0
2012-10-03,0.0
2012-10-15,0.8511
2012-10-16,0.0
2012-10-18,0.211
2012-10-22,-0.6316
2012-10-23,1.6949
2012-11-02,-1.25
2012-11-12,1.2658
2012-11-13,-1.25
2012-11-14,1.2658
2012-11-15,-1.25
2012-11-16,-0.3376
2012-11-20,1.6088
2012-12-03,0.2925
