ticker,TEXC US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2005-05-31,-16.6667
2005-06-01,-13.3333
2005-06-02,7.6923
2005-06-03,-14.2857
2005-06-06,3.3333
2005-06-07,4.8387
2005-06-08,-10.7692
2005-06-09,3.4483
2005-06-10,8.3333
2005-06-14,-15.3846
2005-06-16,9.0909
2005-06-17,-6.6667
2005-06-20,-10.7143
2005-06-21,0.0
2005-06-23,10.0
2005-06-24,5.4545
2005-06-27,-5.1724
2005-06-29,18.1818
2005-06-30,0.0
2005-07-01,-4.6154
2005-07-06,-3.2258
2005-07-11,-8.3333
2005-07-12,9.0909
2005-07-13,16.6667
2005-07-14,-21.4286
2005-07-15,9.0909
2005-07-18,25.0
2005-07-19,-17.3333
2005-07-20,-3.2258
2005-07-21,10.0
2005-07-22,36.3636
2005-07-25,-22.2222
2005-07-26,7.1429
2005-07-27,0.0
2005-07-29,0.0
2005-08-03,46.6667
2005-08-05,-18.1818
2005-08-09,0.0
2005-08-10,-22.2222
2005-08-16,0.0
2005-08-18,0.0
2005-08-22,-14.2857
2005-08-23,-5.0
2005-08-24,14.0351
2005-08-25,-10.7692
2005-08-26,3.4483
2005-08-29,-8.3333
2005-08-30,18.1818
2005-08-31,-7.6923
2005-09-02,-16.6667
2005-09-06,6.0
2005-09-07,-7.5472
2005-09-09,0.0
2005-09-12,-18.3673
2005-09-13,12.5
2005-09-14,11.1111
2005-09-15,24.0
2005-09-16,-8.0645
2005-09-19,-3.5088
2005-09-20,3.6364
2005-09-22,-5.2632
2005-09-23,0.0
2005-09-26,-7.4074
2005-09-28,10.0
2005-09-29,49.0909
2005-09-30,1.2195
2005-10-03,-15.6627
2005-10-04,7.1429
2005-10-05,-12.0
2005-10-06,-9.0909
2005-10-10,8.3333
2005-10-11,-7.6923
2005-10-12,0.0
2005-10-13,25.0
2005-10-14,-13.3333
2005-10-17,-6.1538
2005-10-18,3.2787
2005-10-19,-7.9365
2005-10-20,0.0
2005-10-21,0.0
2005-10-24,0.8621
2005-10-25,0.0
2005-10-26,11.1111
2005-10-27,-7.6923
2005-10-28,16.6667
2005-10-31,-14.2857
2005-11-01,-8.3333
2005-11-02,7.2727
2005-11-03,-15.2542
2005-11-04,-8.0
2005-11-07,15.2174
2005-11-08,-5.6604
2005-11-09,14.0
2005-11-10,22.807
2005-11-11,-15.7143
2005-11-14,-6.7797
2005-11-15,-7.2727
2005-11-16,7.8431
2005-11-18,-9.0909
2005-11-21,24.0
2005-11-22,-11.2903
