ticker,IFCI US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2009-05-01,3.8961
2009-06-08,-11.25
2009-12-22,43.662
2010-06-29,-1.9607999999999999
2010-09-16,0.0
2010-12-23,13.0
2010-12-27,6.1947
2010-12-28,-6.6667
2010-12-29,15.1786
2010-12-30,13.1783
2011-09-26,-28.0822
2011-10-12,42.8571
2011-10-14,5.9333
2011-12-21,20.8307
2012-01-12,14.5833
2012-01-13,13.6364
2012-01-17,6.0
2012-02-08,13.2075
2012-03-06,8.3333
2012-03-08,7.6923
2012-03-13,7.1429
2012-04-26,-26.6667
2012-05-09,-63.6364
2012-05-18,-50.0
2012-05-23,-60.0
2012-11-16,-44.5
2013-01-08,8.1081
2013-06-05,-41.6667
2013-08-16,-0.1786
2013-09-18,-85.6887
2013-10-04,11.25
2013-10-07,0.0
2014-02-26,7.8652
2014-04-08,-16.6667
2014-07-09,20.0
2014-11-13,-50.0
2014-12-18,100.0
2014-12-22,108.3333
2014-12-24,220.0
2014-12-26,0.0
2015-01-28,-68.75
2015-02-06,-20.0
2015-02-17,-70.0
2015-06-02,232.2917
2015-07-28,301.2539
2015-07-29,-12.5
2015-07-31,-56.9643
2015-08-03,132.3651
2015-09-08,-42.8571
2015-09-15,25.0
2015-09-16,20.0
2015-10-14,-33.3333
2015-12-02,150.0
2015-12-03,49.875
2015-12-11,-33.2777
2016-11-01,-20.0
2016-12-23,-55.7813
2017-01-17,352.2968
2017-01-25,-87.5
2017-02-27,700.0
2017-03-13,0.0
2017-05-01,-18.6719
2018-01-05,-76.9452
2018-04-02,33.3333
2018-04-11,0.0
2018-10-16,-50.0
2018-11-12,0.0
2018-12-04,0.0
2018-12-28,-50.0
2019-01-03,-79.0
2019-02-14,90.4762
2019-02-22,-50.0
2019-04-16,85.0
2019-07-19,8.1081
2019-11-07,-62.5
2020-02-19,40.0
2020-04-09,72.381
2020-04-15,10.4972
2020-04-21,0.0
2020-05-07,275.0
2020-05-08,-33.3333
2020-05-12,100.0
