ticker,CFNB US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-1.1364
2000-01-05,1.1494
2000-01-06,2.8409
2000-01-07,-3.8674
2000-01-10,3.4483
2000-01-11,0.0
2000-01-12,-3.3333
2000-01-13,6.6091999999999995
2000-01-14,0.0
2000-01-19,0.2695
2000-01-20,5.3763
2000-01-21,-2.0408
2000-01-24,-4.1667
2000-01-25,4.3478
2000-01-28,2.0833
2000-02-02,-10.2041
2000-02-03,10.2273
2000-02-04,1.0309
2000-02-07,-11.2245
2000-02-09,1.1494
2000-02-10,13.6364
2000-02-11,-9.0
2000-02-15,-3.2967
2000-02-16,1.1364
2000-02-18,-4.4944
2000-02-22,-2.3529
2000-02-23,6.0241
2000-02-25,3.4091
2000-02-29,5.4945
2000-03-01,-2.6042
2000-03-02,-5.8824
2000-03-03,6.25
2000-03-06,-8.0214
2000-03-07,2.3256
2000-03-08,-6.8182
2000-03-10,2.439
2000-03-13,0.0
2000-03-14,4.7619
2000-03-20,-2.2727
2000-03-23,6.2092
2000-03-27,0.0
2000-03-29,0.0
2000-03-30,-5.4945
2000-03-31,-1.7442
2000-04-03,-0.5917
2000-04-04,0.0
2000-04-05,-2.3810000000000002
2000-04-06,-2.439
2000-04-07,2.5
2000-04-10,-3.6585
2000-04-11,-1.2658
2000-04-12,-3.8462
2000-04-13,-1.3333
2000-04-14,0.0
2000-04-17,-4.0541
2000-04-18,1.4085
2000-04-20,0.0
2000-04-24,0.0
2000-04-26,6.9444
2000-04-27,-1.2987
2000-04-28,-5.2632
2000-05-01,1.3889
2000-05-02,1.3699
2000-05-05,8.7838
2000-05-15,0.0
2000-05-22,0.0
2000-05-23,0.0
2000-05-24,-8.0745
2000-05-26,0.0
2000-05-31,-1.3514
2000-06-02,0.0
2000-06-05,0.0
2000-06-06,4.1096
2000-06-08,3.2895
2000-06-12,-8.2803
2000-06-13,5.5556
2000-06-14,10.526299999999999
2000-06-20,-7.1429
2000-06-21,-2.7949
2000-06-22,3.3113
2000-06-23,-3.8462
2000-06-26,1.3333
2000-06-27,0.0
2000-06-28,0.0
2000-06-29,0.0
2000-06-30,0.0
2000-07-03,0.6579
2000-07-06,1.3072
2000-07-07,-0.6452
2000-07-10,-1.2987
2000-07-14,0.0
2000-07-21,2.6316
2000-07-24,-2.5641
2000-07-25,0.0
2000-07-31,0.0
2000-08-01,0.0
2000-08-02,-3.9474
2000-08-04,1.3699
2000-08-09,-1.3514
2000-08-10,-1.3699
2000-08-15,6.9444
