ticker,AZFL US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2012-10-25,14.0
2012-10-26,22.807
2012-10-31,8.5714
2012-11-01,-8.5526
2012-11-02,29.3165
2012-11-05,-16.5508
2012-11-06,13.3333
2012-11-07,12.9412
2012-11-08,-10.4167
2012-11-09,4.6512
2012-11-12,0.0
2012-11-13,-5.5556
2012-11-14,-1.1764999999999999
2012-11-15,-1.1905000000000001
2012-11-16,-3.6145
2012-11-19,-12.5
2012-11-20,-12.857099999999999
2012-11-21,6.0451
2012-11-23,-22.7053
2012-11-26,16.0
2012-11-27,-8.6207
2012-11-28,13.2075
2012-11-29,-8.3333
2012-11-30,9.0909
2012-12-03,0.0
2012-12-04,0.0
2012-12-05,16.6667
2012-12-06,13.5714
2012-12-07,0.6289
2012-12-10,-12.5
2012-12-11,0.0
2012-12-12,0.0
2012-12-13,-2.8571
2012-12-14,5.8824
2012-12-17,2.0833
2012-12-18,-21.0884
2012-12-19,0.0
2012-12-20,-13.7931
2012-12-21,0.0
2012-12-24,-20.0
2012-12-26,25.0
2012-12-27,10.0
2012-12-31,-18.1818
2013-01-02,-11.1111
2013-01-03,0.0
2013-01-04,0.0
2013-01-07,0.0
2013-01-08,0.0
2013-01-09,-1.25
2013-01-11,-13.9241
2013-01-14,0.0
2013-01-15,2.9412000000000003
2013-01-16,14.2857
2013-01-18,0.0
2013-01-22,-5.0
2013-01-23,-21.0526
2013-01-24,20.0
2013-01-25,-16.6667
2013-01-28,-33.3333
2013-01-29,0.625
2013-01-30,24.2236
2013-02-01,-19.5
2013-02-04,54.0373
2013-02-05,0.0
2013-02-06,-3.2258
2013-02-07,-16.6667
2013-02-08,-20.0
2013-02-11,0.0
2013-02-13,5.0
2013-02-14,38.0952
2013-02-15,0.0
2013-02-19,20.6897
2013-02-20,0.0
2013-02-21,0.0
2013-02-22,0.0
2013-02-25,0.0
2013-02-27,-8.5714
2013-02-28,0.0
2013-03-01,0.0
2013-03-05,-15.625
2013-03-06,0.0
2013-03-08,-22.2222
2013-03-12,42.8571
2013-03-15,0.0
2013-03-19,-16.6667
2013-03-20,-16.0
2013-03-25,-4.7619
2013-03-26,0.0
2013-03-27,0.0
2013-04-04,50.0
2013-04-05,-30.0
2013-04-08,90.4762
2013-04-09,-5.0
2013-04-11,0.0
2013-04-17,-2.6316
2013-04-22,0.0
2013-04-23,-18.9189
2013-04-25,0.0
2013-04-29,66.6667
2013-05-02,-20.0
2013-05-06,-45.0
2013-05-07,81.8182
