ticker,MASI US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2007-08-08,22.9412
2007-08-09,-1.9139
2007-08-10,-2.3415
2007-08-13,4.8951
2007-08-14,-2.3810000000000002
2007-08-15,-0.4878
2007-08-16,-4.1667
2007-08-17,5.3197
2007-08-20,0.0486
2007-08-21,1.9417
2007-08-22,0.619
2007-08-23,1.2778
2007-08-24,-1.5888
2007-08-27,-0.2849
2007-08-28,-0.4762
2007-08-29,0.6699
2007-08-30,0.3327
2007-08-31,-0.5211
2007-09-04,0.2857
2007-09-05,0.6648
2007-09-06,1.4151
2007-09-07,3.9535
2007-09-10,9.0828
2007-09-11,1.7227000000000001
2007-09-12,-0.8468
2007-09-13,0.8133
2007-09-14,0.242
2007-09-17,-5.7143
2007-09-18,-0.0854
2007-09-19,4.6988
2007-09-20,3.1008
2007-09-21,2.8888
2007-09-24,2.4615
2007-09-25,-0.1502
2007-09-26,-0.9398
2007-09-27,-1.2144
2007-09-28,-1.4214
2007-10-01,2.2603
2007-10-02,1.4863
2007-10-03,5.783
2007-10-04,2.8754
2007-10-05,0.0
2007-10-08,6.1077
2007-10-09,4.748
2007-10-10,4.9364
2007-10-11,-3.0769
2007-10-12,-2.4416
2007-10-15,-3.536
2007-10-16,3.8274
2007-10-17,-2.6867
2007-10-18,0.2568
2007-10-19,-3.0099
2007-10-22,-0.9574
2007-10-23,3.9667
2007-10-24,2.2443
2007-10-25,0.0
2007-10-26,-2.9163
2007-10-29,3.7468
2007-10-30,3.6426
2007-10-31,2.7936
2007-11-01,-8.0947
2007-11-02,1.399
2007-11-05,-2.2578
2007-11-06,0.2887
2007-11-07,-4.1267
2007-11-08,0.5339
2007-11-09,-0.2655
2007-11-12,0.0333
2007-11-13,1.9627
2007-11-14,-0.8483
2007-11-15,1.8427
2007-11-16,2.1971
2007-11-19,-1.4859
2007-11-20,-1.2516
2007-11-21,-2.2424
2007-11-23,0.0
2007-11-26,3.6902
2007-11-27,4.5527
2007-11-28,7.329
2007-11-29,7.7143
2007-11-30,-1.9628999999999999
2007-12-03,3.6254999999999997
2007-12-04,-1.1488
2007-12-05,-0.1321
2007-12-06,-1.3224
2007-12-07,2.3586
2007-12-10,0.3666
2007-12-11,-3.496
2007-12-12,4.3525
2007-12-13,6.6838999999999995
2007-12-14,-2.2584
2007-12-17,-1.5154999999999998
2007-12-18,4.112
2007-12-19,-0.63
2007-12-20,-1.2436
2007-12-21,3.1852
2007-12-24,-1.005
2007-12-26,-0.4593
