ticker,LKCRU US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2018-10-01,-3.0303
2019-01-02,2.8125
2019-04-02,-0.9119
2020-01-02,-23.3129
