ticker,TEDU US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2014-04-03,0.6667
2014-04-04,-0.2208
2014-04-07,-10.8407
2014-04-08,5.4591
2014-04-09,-0.7059
2014-04-10,-10.1896
2014-04-11,1.7149999999999999
2014-04-14,-2.7237
2014-04-15,-4.5333
2014-04-16,-2.6536
2014-04-17,-3.2999
2014-04-21,15.1335
2014-04-22,7.2165
2014-04-23,8.1731
2014-04-24,-0.5556
2014-04-25,-0.4469
2014-04-28,-1.1223
2014-04-29,-3.9728
2014-04-30,-0.4728
2014-05-01,4.8694
2014-05-02,3.9638
2014-05-05,-0.1089
2014-05-06,-1.4177
2014-05-07,-10.8407
2014-05-08,-4.4665
2014-05-09,-1.039
2014-05-12,8.5302
2014-05-13,-2.6602
2014-05-14,-4.0994
2014-05-15,-9.0674
2014-05-16,10.3989
2014-05-19,4.0
2014-05-20,-0.8685
2014-05-21,6.0075
2014-05-22,-6.0213
2014-05-23,7.0352
2014-05-27,-2.9343
2014-05-28,-0.8464
2014-05-29,10.9756
2014-05-30,-1.4285999999999999
2014-06-02,-0.7804
2014-06-03,4.2697
2014-06-04,-0.8621
2014-06-05,-0.8696
2014-06-06,8.5526
2014-06-09,2.7273
2014-06-10,-2.4582
2014-06-11,9.2742
2014-06-12,0.5535
2014-06-13,7.7982
2014-06-16,0.5106
2014-06-17,-5.5885
2014-06-18,7.2646
2014-06-19,-2.3411
2014-06-20,-3.1678
2014-06-23,1.9452
2014-06-24,0.0867
2014-06-25,14.9047
2014-06-26,5.2036
2014-06-27,-12.4731
2014-06-30,7.5348
2014-07-01,-2.2848
2014-07-02,2.1044
2014-07-03,5.8015
2014-07-07,-9.5238
2014-07-08,-4.5455
2014-07-09,2.924
2014-07-10,-5.1948
2014-07-11,0.1712
2014-07-14,2.4786
2014-07-15,0.0834
2014-07-16,-0.8333
2014-07-17,-1.2605
2014-07-18,-1.5319
2014-07-21,-1.0372
2014-07-22,8.3843
2014-07-23,-3.3844
2014-07-24,-3.0025
2014-07-25,1.8056999999999999
2014-07-28,-1.1824
2014-07-29,8.547
2014-07-30,-2.9920999999999998
2014-07-31,-4.2208
2014-08-01,0.4237
2014-08-04,4.9789
2014-08-05,4.0193
2014-08-06,1.5455999999999999
2014-08-07,-3.2725
2014-08-08,6.4516
2014-08-11,-1.2565
2014-08-12,9.506
2014-08-13,2.6658
2014-08-14,-0.2663
2014-08-15,-6.8758
2014-08-18,5.233
2014-08-19,1.9074
2014-08-20,-3.6096
