ticker,CNWHF US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2007-07-17,-0.1376
2007-07-18,0.0
2007-07-19,0.0
2007-07-20,0.0
2007-07-23,-0.1377
2007-07-24,0.1379
2007-07-25,0.0
2007-07-26,0.8264
2007-07-27,-0.2732
2007-07-30,-0.5479
2007-07-31,0.1377
2007-08-01,0.6878
2007-08-02,-0.6831
2007-08-03,-0.1376
2007-08-06,-0.1377
2007-08-07,0.1379
2007-08-08,0.0
2007-08-09,0.0
2007-08-10,0.0
2007-08-14,-0.1377
2007-08-15,0.0
2007-08-16,-0.2759
2007-08-17,-0.4149
2007-08-21,0.6944
2007-08-22,0.0
2007-08-23,0.0
2007-08-29,1.3793
2007-09-04,-0.5442
2007-09-06,-0.1368
2007-09-07,-0.6849
2007-09-10,0.0
2007-09-11,0.9655
2007-09-12,-0.9563
2007-09-13,0.0
2007-09-17,-0.4138
2007-09-18,0.4155
2007-09-19,0.0
2007-09-20,0.0
2007-09-21,-0.2759
2007-09-24,0.0
2007-09-26,0.2766
2007-09-27,-0.2759
2007-09-28,-0.2766
2007-10-03,0.0
2007-10-04,0.0
2007-10-05,-0.1387
2007-10-08,0.2778
2007-10-10,-0.1385
2007-10-12,0.1387
2007-10-15,0.0
2007-10-17,0.1385
2007-10-18,0.4149
2007-10-19,0.0
2007-10-22,0.1377
2007-10-23,0.1376
2007-10-24,-0.2473
2007-10-26,0.1102
2007-11-01,0.0
2007-11-06,0.0
2007-11-07,0.0
2007-11-08,-0.1376
2007-11-09,0.0
2007-11-14,0.1377
2007-11-15,0.4127
2007-11-16,0.0
2007-11-19,0.0
2007-11-23,-0.6849
2007-11-28,0.0
2007-11-29,-0.2759
2007-12-03,0.0
2007-12-05,0.6916
2007-12-07,0.0
2007-12-11,-0.6868
2007-12-13,-0.1383
2007-12-18,0.0
2007-12-20,0.0
2008-01-03,0.4155
2008-01-04,-0.2759
2008-01-08,0.2766
2008-01-09,-0.1379
2008-01-10,0.5525
2008-01-14,-0.5495
2008-01-15,0.5525
2008-01-17,0.0
2008-01-23,-0.4121
2008-01-25,0.1379
2008-01-28,1.7906
2008-01-30,-0.8119
2008-02-04,-0.5457
2008-02-05,-0.2743
2008-02-12,0.4127
2008-02-14,-0.274
2008-02-20,0.1374
2008-02-22,-0.2743
2008-02-27,0.6895
2008-02-28,-0.2749
2008-02-29,0.0
2008-03-03,-0.137
2008-03-05,0.1372
2008-03-11,-0.6849
2008-03-14,0.0
2008-03-17,0.0
2008-03-20,1.3793
