ticker,AXIM US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2014-03-28,316.6667
2014-04-04,104.0
2014-06-20,1762.7451
2014-09-02,5.2632
2015-01-22,0.0
2015-03-04,-70.0
2015-03-05,33.3333
2015-03-06,-37.5
2015-03-09,-20.0
2015-03-10,50.0
2015-03-12,-43.3333
2015-03-13,-38.2353
2015-03-27,19.0476
2015-03-30,4.0
2015-04-02,-3.8462
2015-04-07,0.0
2015-04-08,-36.0
2015-04-09,25.0
2015-04-16,0.0
2015-04-21,-40.0
2015-04-22,68.3333
2015-04-27,-0.9901
2015-04-28,0.0
2015-05-07,0.0
2015-05-13,-40.0
2015-05-19,75.0
2015-05-22,-5.7143
2015-05-27,1.0101
2015-05-28,0.0
2015-05-29,-1.0
2015-06-01,11.1111
2015-06-02,-9.0909
2015-06-04,0.0
2015-06-08,0.0
2015-06-11,-32.0
2015-06-15,0.0
2015-06-16,0.0
2015-06-23,39.7059
2015-06-24,0.0
2015-06-26,-2.1053
2015-06-29,-3.2258
2015-06-30,5.5556
2015-07-01,0.0
2015-07-02,0.0
2015-07-06,0.0
2015-07-07,-54.7368
2015-07-09,120.9302
2015-07-10,-1.0526
2015-07-13,0.0
2015-07-14,-17.0213
2015-07-15,7.6923
2015-07-16,-1.1905000000000001
2015-07-17,-15.4217
2015-07-21,12.2507
2015-07-22,1.5228000000000002
2015-07-28,-25.0
2015-07-29,33.3333
2015-07-30,0.0
2015-08-03,2.5
2015-08-04,0.0
2015-08-05,0.0
2015-08-10,0.0
2015-08-13,0.0
2015-08-14,-92.561
2015-08-18,1457.377
2015-08-19,-1.0526
2015-08-20,-30.8511
2015-08-21,-7.6923
2015-08-24,0.0
2015-08-27,0.0
2015-09-04,0.0
2015-09-09,16.6667
2015-09-10,-14.2857
2015-09-11,11.6667
2015-09-14,-23.7313
2015-09-17,31.1155
2015-09-18,0.0
2015-09-21,0.0187
2015-09-22,4.4581
2015-09-25,-38.5714
2015-09-28,-6.9767
2015-09-30,75.0
2015-10-06,-10.0
2015-10-07,0.0
2015-10-20,-34.9206
2015-11-02,-2.439
2015-11-04,0.0
2015-11-09,0.0
2015-11-12,0.0
2015-11-18,37.5
2015-11-30,-27.2727
2015-12-03,0.375
2015-12-08,12.0797
2015-12-09,0.0
2015-12-14,180.0
2015-12-15,-64.2857
2015-12-21,33.3333
2015-12-22,0.0
2015-12-30,-50.0
2015-12-31,0.0
2016-01-06,166.6667
2016-01-07,-1.25
2016-01-08,-5.0633
