ticker,NKTX US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2020-07-10,166.1111
2020-07-13,-19.5825
2020-07-14,-6.4123
2020-07-15,1.387
2020-07-16,-0.5472
2020-07-17,1.8432
2020-07-20,-1.7018
2020-07-21,-7.6669
2020-07-22,-8.1845
2020-07-23,-1.6207
2020-07-24,-5.4366
2020-07-27,-3.5192
2020-07-28,-1.6974
2020-07-29,-2.7921
2020-07-30,2.8723
2020-07-31,-5.4004
