ticker,PRCP US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-1.5625
2000-01-04,-4.7619
2000-01-05,3.3333
2000-01-06,3.2258
2000-01-07,-4.6875
2000-01-10,3.2787
2000-01-11,-3.9683
2000-01-12,4.1322
2000-01-13,-1.5873
2000-01-14,0.0
2000-01-18,0.0
2000-01-19,4.8387
2000-01-20,-1.5385
2000-01-21,15.625
2000-01-24,-5.4054
2000-01-25,2.8571
2000-01-26,-4.1667
2000-01-27,1.4493
2000-01-28,-2.8571
2000-01-31,-5.8824
2000-02-01,17.1875
2000-02-02,-8.6667
2000-02-03,5.1095
2000-02-04,0.0
2000-02-07,0.0
2000-02-08,2.7778
2000-02-09,0.0
2000-02-10,6.7568
2000-02-11,1.2658
2000-02-14,-2.5
2000-02-15,-5.1282
2000-02-16,7.4324
2000-02-17,-3.1447
2000-02-18,-1.2987
2000-02-22,4.6053
2000-02-23,-1.8868
2000-02-24,-2.5641
2000-02-25,-5.2632
2000-02-28,-2.7778
2000-02-29,2.8571
2000-03-01,0.0
2000-03-02,5.5556
2000-03-03,-3.9474
2000-03-06,13.6986
2000-03-07,37.3494
2000-03-08,-10.9649
2000-03-09,3.4483
2000-03-10,-0.9524
2000-03-13,4.8077
2000-03-14,2.7523
2000-03-15,-4.4643
2000-03-16,-2.8037
2000-03-17,-1.9231
2000-03-20,-5.8824
2000-03-21,-7.2917
2000-03-22,5.618
2000-03-23,-3.1915
2000-03-24,9.8901
2000-03-27,-4.0
2000-03-28,-2.0833
2000-03-29,0.0
2000-03-30,-12.234
2000-03-31,21.2121
2000-04-03,-12.0
2000-04-04,-1.1364
2000-04-05,3.4483
2000-04-06,-2.2222
2000-04-07,6.8182
2000-04-10,-2.1277
2000-04-11,-5.9783
2000-04-12,-5.2023
2000-04-13,-7.3171
2000-04-14,-7.8947
2000-04-17,-5.7143
2000-04-18,-3.0303
2000-04-19,6.25
2000-04-20,11.7647
2000-04-24,-13.1579
2000-04-25,3.0303
2000-04-26,0.0
2000-04-27,-2.9412000000000003
2000-04-28,9.0909
2000-05-01,-3.4722
2000-05-02,-2.8777
2000-05-03,2.2222
2000-05-04,4.3478
2000-05-05,-2.7778
2000-05-08,-4.2857
2000-05-09,7.4627
2000-05-10,-5.5556
2000-05-11,-4.4118
2000-05-12,4.6154
2000-05-15,0.0
2000-05-16,-5.8824
2000-05-17,-4.6875
2000-05-18,3.2787
2000-05-19,0.0
2000-05-22,7.9365
2000-05-23,-5.8824
