ticker,MUSA US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2013-08-20,-1.8533
2013-08-21,-1.6522000000000001
2013-08-22,-0.8
2013-08-23,0.1344
2013-08-26,0.1342
2013-08-27,-1.2064
2013-08-28,-1.0583
2013-08-29,0.384
2013-08-30,0.9563
2013-09-03,1.5156
2013-09-04,2.4527
2013-09-05,-0.1301
2013-09-06,3.1787
2013-09-09,0.6313
2013-09-10,-1.079
2013-09-11,-1.3699
2013-09-12,3.3951000000000002
2013-09-13,0.8706
2013-09-16,0.2219
2013-09-17,-0.3691
2013-09-18,1.1360999999999999
2013-09-19,-1.221
2013-09-20,0.5933
2013-09-23,-0.8847
2013-09-24,1.6117
2013-09-25,-1.2445
2013-09-26,1.6803
2013-09-27,-0.3402
2013-09-30,-1.5118
2013-10-01,0.3466
2013-10-02,0.1234
2013-10-03,-0.1971
2013-10-04,-0.4691
2013-10-07,-0.769
2013-10-08,-0.875
2013-10-09,0.7818
2013-10-10,2.5776
2013-10-11,0.8051
2013-10-14,0.0968
2013-10-15,-1.2814
2013-10-16,0.3674
2013-10-17,-0.8297
2013-10-18,1.5502
2013-10-21,0.5815
2013-10-22,-0.0723
2013-10-23,-1.1572
2013-10-24,-0.439
2013-10-25,0.147
2013-10-28,-0.9295
2013-10-29,0.5432
2013-10-30,-0.4666
2013-10-31,0.1234
2013-11-01,1.5278
2013-11-04,-1.1893
2013-11-05,0.8597
2013-11-06,1.5587
2013-11-07,1.0552
2013-11-08,-0.1898
2013-11-11,0.5468
2013-11-12,1.1114
2013-11-13,-0.1169
2013-11-14,0.6322
2013-11-15,1.4425
2013-11-18,0.7339
2013-11-19,0.1821
2013-11-20,0.5909
2013-11-21,2.5079000000000002
2013-11-22,2.0719
2013-11-25,-3.0879
2013-11-26,0.8467
2013-11-27,1.7234
2013-11-29,-1.7159
2013-12-02,1.7017
2013-12-03,-0.4129
2013-12-04,-1.8547
2013-12-05,0.8226
2013-12-06,0.5954
2013-12-09,-0.0877
2013-12-10,-1.6893
2013-12-11,-3.4144
2013-12-12,-1.9409
2013-12-13,-0.3299
2013-12-16,-0.4019
2013-12-17,0.451
2013-12-18,-0.1418
2013-12-19,-0.6862
2013-12-20,1.8585
2013-12-23,-0.9591
2013-12-24,-1.0156
2013-12-26,-0.0716
2013-12-27,0.0
2013-12-30,0.5253
2013-12-31,-1.2827
2014-01-02,0.8422
2014-01-03,0.1432
2014-01-06,-0.4527
2014-01-07,1.8909
2014-01-08,-0.0705
