ticker,ORI US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-3.6696999999999997
2000-01-04,-3.3333
2000-01-05,0.0
2000-01-06,1.4778
2000-01-07,0.9709
2000-01-10,0.0
2000-01-11,-1.4423
2000-01-12,1.4634
2000-01-13,-1.4423
2000-01-14,0.4878
2000-01-18,1.4563
2000-01-19,0.0
2000-01-20,-1.9139
2000-01-21,-0.4878
2000-01-24,-2.451
2000-01-25,1.005
2000-01-26,-1.4925
2000-01-27,0.0
2000-01-28,-2.5253
2000-01-31,0.5181
2000-02-01,-2.0619
2000-02-02,2.1053
2000-02-03,-1.5464
2000-02-04,1.5707
2000-02-07,-1.0309
2000-02-08,0.5208
2000-02-09,-1.5544
2000-02-10,-4.2105
2000-02-11,1.0989
2000-02-14,0.5435
2000-02-15,-1.6216
2000-02-16,-1.6484
2000-02-17,1.6760000000000002
2000-02-18,0.0
2000-02-22,-1.6484
2000-02-23,3.352
2000-02-24,-0.5405
2000-02-25,-0.5435
2000-02-28,-1.0929
2000-02-29,3.3149
2000-03-01,-4.7701
2000-03-02,-0.5682
2000-03-03,2.8571
2000-03-06,-2.7778
2000-03-07,0.0
2000-03-08,-1.1429
2000-03-09,-0.578
2000-03-10,3.4884
2000-03-13,-1.1236
2000-03-14,0.0
2000-03-15,2.8409
2000-03-16,7.1823
2000-03-17,-2.5773
2000-03-20,-1.5873
2000-03-21,2.1505
2000-03-22,1.0526
2000-03-23,1.0417
2000-03-24,3.0928
2000-03-27,0.0
2000-03-28,0.5
2000-03-29,0.995
2000-03-30,7.8818
2000-03-31,0.4566
2000-04-03,-1.3636
2000-04-04,-1.8433000000000002
2000-04-05,0.939
2000-04-06,-1.8605
2000-04-07,0.0
2000-04-10,-1.4218
2000-04-11,0.4808
2000-04-12,0.0
2000-04-13,0.4785
2000-04-14,-0.9524
2000-04-17,-4.8077
2000-04-18,5.5556
2000-04-19,-3.3493
2000-04-20,-0.9901
2000-04-24,0.0
2000-04-25,5.5
2000-04-26,6.1611
2000-04-27,3.5714
2000-04-28,-1.7241
2000-05-01,12.2807
2000-05-02,1.9531
2000-05-03,0.3831
2000-05-04,3.0534
2000-05-05,0.7407
2000-05-08,-1.8382
2000-05-09,-2.6217
2000-05-10,-0.7692
2000-05-11,5.0388
2000-05-12,2.583
2000-05-15,0.3597
2000-05-16,0.7168
2000-05-17,-0.3559
2000-05-18,1.0714
2000-05-19,-0.3534
2000-05-22,1.7730000000000001
2000-05-23,0.0
2000-05-24,-1.3937
