ticker,RELT US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2020-01-27,-15.5405
2020-01-29,50.0
2020-01-31,0.0
2020-02-03,0.0
2020-02-06,-68.1667
2020-02-24,140.8377
2020-03-05,-65.2174
2020-03-09,-6.25
2020-03-11,-6.6667
2020-03-16,0.0
2020-03-18,37.1429
2020-04-30,4.1667
2020-05-15,0.0
2020-06-30,20.0
2020-07-08,56.25
2020-07-09,-17.28
2020-07-10,-3.2882
2020-07-13,86.6
2020-07-14,-62.4866
2020-07-15,-25.7143
2020-07-16,-29.4872
2020-07-17,0.0
2020-07-20,9.0909
2020-07-21,4.1667
2020-07-23,12.0
2020-07-24,-21.4286
2020-07-27,27.2727
2020-07-29,0.0
