ticker,CMP US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2003-12-12,5.7692
2003-12-15,3.2727
2003-12-16,-0.9859
2003-12-17,0.6401
2003-12-18,-0.9187
2003-12-19,-0.1427
2003-12-22,0.3571
2003-12-23,0.3559
2003-12-24,1.4184
2003-12-26,-0.6993
2003-12-29,0.0
2003-12-30,-1.1972
2003-12-31,1.7819
2004-01-02,0.8403
2004-01-05,0.0
2004-01-06,0.9722
2004-01-07,-1.238
2004-01-08,-0.766
2004-01-09,1.7544
2004-01-12,-1.3103
2004-01-13,-1.0482
2004-01-14,2.048
2004-01-15,-0.4152
2004-01-16,-1.0424
2004-01-20,0.7022
2004-01-21,0.2789
2004-01-22,1.1822
2004-01-23,2.268
2004-01-26,3.1586
2004-01-27,1.3681
2004-01-28,0.964
2004-01-29,-0.7638
2004-01-30,-0.5773
2004-02-02,0.1935
2004-02-03,-0.8371
2004-02-04,-0.6494
2004-02-05,0.1961
2004-02-06,0.3914
2004-02-09,-1.8843
2004-02-10,1.6556
2004-02-11,1.8893
2004-02-12,2.3018
2004-02-13,0.9375
2004-02-17,-0.0619
2004-02-18,2.1066
2004-02-19,2.2451
2004-02-20,-0.2967
2004-02-23,-0.1786
2004-02-24,-0.1193
2004-02-25,-2.9851
2004-02-26,3.6154
2004-02-27,0.0
2004-03-01,-0.3604
2004-03-02,0.1206
2004-03-03,-0.1806
2004-03-04,-1.0856
2004-03-05,1.0366
2004-03-08,-0.4225
2004-03-09,0.9091
2004-03-10,-0.5405
2004-03-11,-2.1739
2004-03-12,-0.9259
2004-03-15,-0.5607
2004-03-16,-2.8195
2004-03-17,-0.0645
2004-03-18,4.1935
2004-03-19,-2.9102
2004-03-22,-2.551
2004-03-23,3.4031000000000002
2004-03-24,-0.3165
2004-03-25,-0.8889
2004-03-26,1.9859
2004-03-29,0.5653
2004-03-30,1.0618
2004-03-31,1.2979
2004-04-01,3.1727
2004-04-02,0.2365
2004-04-05,0.0
2004-04-06,-3.2448
2004-04-07,0.4268
2004-04-08,1.1536
2004-04-12,1.5006
2004-04-13,-0.5914
2004-04-14,-0.2974
2004-04-15,0.2387
2004-04-16,-0.2381
2004-04-19,-0.358
2004-04-20,-0.7186
2004-04-21,-0.4825
2004-04-22,0.0
2004-04-23,-0.0606
2004-04-26,0.0606
2004-04-27,-0.0606
2004-04-28,-0.1819
2004-04-29,0.0608
2004-04-30,-0.425
2004-05-03,0.4878
2004-05-04,0.1214
2004-05-05,6.8485
2004-05-06,0.2836
