ticker,EMBI US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2014-12-01,10.0
2014-12-02,-4.5455
2014-12-12,-2.3810000000000002
2014-12-15,-12.1951
2014-12-18,0.0
2014-12-26,-11.1111
2014-12-29,-3.125
2015-01-02,0.0
2015-01-06,0.0
2015-01-07,-3.2258
2015-01-13,0.0
2015-01-21,-6.6667
2015-02-10,-42.8571
2015-02-13,0.0
2015-02-18,-3.5
2015-02-20,29.5337
2015-02-23,-10.0
2015-02-25,-11.1111
2015-02-26,0.0
2015-03-02,-37.5
2015-03-10,-38.0
2015-03-11,109.0323
2015-03-12,0.3086
2015-03-13,-7.6923
2015-03-17,-6.6667
2015-03-20,10.7143
2015-03-23,-9.6774
2015-03-24,-17.8571
2015-03-25,21.7391
2015-03-26,7.1429
2015-03-27,25.0
2015-03-30,6.6667
2015-03-31,6.25
2015-04-01,17.647100000000002
2015-04-02,3.0
2015-04-06,5.8252
2015-04-07,1.8349
2015-04-08,-8.1081
2015-04-09,-3.1373
2015-04-10,-1.8218999999999999
2015-04-13,1.0309
2015-04-14,-2.449
2015-04-15,-3.7657
2015-04-16,0.8696
2015-04-17,1.2931
2015-04-20,0.0
2015-04-21,-3.1915
2015-04-22,-1.0989
2015-04-23,1.1111
2015-04-24,-3.2967
2015-04-27,-3.4091
2015-04-28,-1.1764999999999999
2015-04-29,-2.3810000000000002
2015-04-30,-4.878
2015-05-01,2.5641
2015-05-04,-6.25
2015-05-05,4.2667
2015-05-06,-0.2558
2015-05-07,-2.5641
2015-05-08,0.0
2015-05-11,-7.8947
2015-05-12,-17.1429
2015-05-13,18.9655
2015-05-14,1.4493
2015-05-15,-2.8571
2015-05-18,-11.7647
2015-05-19,0.0
2015-05-20,3.3333
2015-05-21,1.9355
2015-05-22,-0.9494
2015-05-26,-4.1534
2015-05-27,0.0
2015-05-28,-3.3333
2015-05-29,5.1724
2015-06-01,1.6393
2015-06-02,1.6129
2015-06-03,-1.5873
2015-06-04,-2.0968
2015-06-05,-1.1532
2015-06-08,-3.0
2015-06-09,-0.6873
2015-06-10,0.346
2015-06-11,-1.7241
2015-06-12,-3.5088
2015-06-15,-0.3636
2015-06-16,-1.8248
2015-06-17,-3.3457
2015-06-18,0.0
2015-06-19,-5.7692
2015-06-22,6.9388
2015-06-23,-0.3817
2015-06-24,-13.41
2015-06-25,-13.2743
2015-06-26,-15.8163
2015-06-29,1.2121
2015-06-30,13.7725
2015-07-01,2.6316
2015-07-02,2.5641
2015-07-06,-8.0
