ticker,WKLN US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2010-02-17,0.0
2010-02-18,50.0
2010-02-19,26.6667
2010-02-23,5.2632
2010-02-24,50.0
2010-03-04,30.0
2010-03-05,-23.0769
2010-03-08,30.0
2010-03-10,0.0
2010-03-11,-7.6923
2010-03-12,-16.6667
2010-03-16,0.0
2010-03-17,-15.0
2010-03-19,13.7255
2010-03-23,3.4483
2010-03-25,0.0
2010-03-26,0.0
2010-03-29,-16.6667
2010-03-31,20.0
2010-04-05,6.6667
2010-04-13,-6.25
2010-04-15,-60.0
2010-04-16,83.3333
2010-04-19,-4.5455
2010-04-20,0.0
2010-04-21,19.0476
2010-04-22,20.0
2010-04-23,10.0
2010-04-26,1.5152
2010-04-27,25.3731
2010-04-28,-7.1429
2010-04-29,17.9487
2010-04-30,8.6957
2010-05-03,0.0
2010-05-04,-12.0
2010-05-05,-9.0909
2010-05-06,-10.0
2010-05-07,0.0
2010-05-10,-18.0556
2010-05-11,-6.7797
2010-05-12,-5.4545
2010-05-13,23.0769
2010-05-14,-6.25
2010-05-17,8.3333
2010-05-18,-7.6923
2010-05-19,0.0
2010-05-20,-6.6667
2010-05-21,3.5714
2010-05-24,-8.6207
2010-05-25,-9.434
2010-05-26,0.0
2010-05-27,-2.0833
2010-05-28,-14.8936
2010-06-01,-5.0
2010-06-02,-11.8421
2010-06-03,7.4627
2010-06-04,-5.0
2010-06-07,6.7251
2010-06-08,1.3699
2010-06-09,5.4054
2010-06-10,-2.5641
2010-06-11,-0.5263
2010-06-14,0.5291
2010-06-15,28.947400000000002
2010-06-16,-22.449
2010-06-17,13.1579
2010-06-18,-6.9767
2010-06-21,-15.0
2010-06-22,-1.4706000000000001
2010-06-23,0.0
2010-06-24,5.9701
2010-06-25,-9.8592
2010-06-28,-6.25
2010-06-29,0.0
2010-06-30,0.0
2010-07-01,-20.0
2010-07-06,-11.6667
2010-07-07,-8.0189
2010-07-09,43.5897
2010-07-12,-28.6607
2010-07-13,0.1252
2010-07-19,-15.0
2010-07-20,-5.8824
2010-07-21,0.0
2010-07-27,-25.0
2010-07-28,16.6667
2010-07-29,17.1429
2010-07-30,-2.439
2010-08-02,-25.0
2010-08-03,0.0
2010-08-04,8.3333
2010-08-05,-23.0769
2010-08-06,10.0
2010-08-09,-9.0909
2010-08-10,-18.0
2010-08-11,-2.439
2010-08-13,0.0
2010-08-17,12.5
2010-08-18,2.2222
2010-08-19,-2.1739
2010-08-20,11.1111
2010-08-23,-20.0
