ticker,BDVB US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2017-05-26,-50.0
2017-05-30,-36.0
2017-05-31,6.875
2017-06-01,-12.2807
2017-06-02,13.3333
2017-06-05,47.0588
2017-06-06,-13.96
2017-06-07,16.6899
2017-06-08,11.4741
2017-06-09,-14.1887
2017-06-12,-0.0833
2017-06-13,-12.4635
2017-06-14,0.0
2017-06-15,-7.1429
2017-06-16,7.6923
2017-06-19,0.4762
2017-06-20,9.0047
2017-06-21,4.3478
2017-06-22,-4.1667
2017-06-23,-0.0435
2017-06-26,4.3932
2017-06-27,0.0
2017-06-28,0.0
2017-06-29,-2.0833
2017-06-30,2.1277
2017-07-03,12.5
2017-07-05,-7.463
2017-07-06,-3.9624
2017-07-07,-8.3142
2017-07-10,4.4545
2017-07-11,-1.6536
2017-07-12,10.6195
2017-07-13,-8.0
2017-07-14,13.087
2017-07-17,30.3345
2017-07-18,-10.6195
2017-07-19,7.2607
2017-07-20,4.6462
2017-07-21,-5.91
2017-07-24,0.0
2017-07-25,-3.125
2017-07-26,-9.6774
2017-07-27,-7.1429
2017-07-28,2.95
2017-07-31,8.3424
2017-08-01,1.6897
2017-08-02,-3.391
2017-08-03,-6.9849
2017-08-07,3.3585
2017-08-08,-1.4604
2017-08-09,-24.701
2017-08-10,-21.2722
2017-08-11,21.875
2017-08-14,-2.5641
2017-08-15,5.2632
2017-08-16,-10.0
2017-08-17,0.0
2017-08-18,-5.5556
2017-08-21,2.3529
2017-08-23,-8.046
2017-08-24,9.375
2017-08-25,-2.8571
2017-08-28,-5.2941
2017-08-29,-0.6211
2017-08-30,6.25
2017-08-31,-14.7059
2017-09-01,13.7931
2017-09-05,-7.8788
2017-09-06,1.9737
2017-09-07,6.4516
2017-09-08,0.0
2017-09-12,-7.8182
2017-09-14,-1.3807
2017-09-15,-6.6
2017-09-18,7.0664
2017-09-19,0.0
2017-09-21,0.0
2017-09-22,1.0
2017-09-25,5.6106
2017-09-26,-6.25
2017-09-27,-6.6
2017-09-29,7.7802
2017-10-02,5.9603
2017-10-03,3.0
2017-10-05,-8.3738
2017-10-06,8.9404
2017-10-09,-5.7751
2017-10-10,0.0
2017-10-11,0.0
2017-10-12,3.2258
2017-10-13,-6.25
2017-10-16,0.6667
2017-10-17,-0.6623
2017-10-18,0.0
2017-10-19,6.6667
2017-10-23,-12.4375
2017-10-24,0.0714
2017-10-26,16.3117
2017-10-30,-13.9628
2017-10-31,-0.0713
2017-11-01,0.0
2017-11-02,9.4151
