ticker,CHFS US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2012-02-17,25.0417
2012-02-21,3.3333
2012-02-22,-6.4516
2012-02-23,-3.4491
2012-02-24,0.1795
2012-02-27,10.5169
2012-02-28,-3.2258
2012-02-29,0.8333
2012-03-01,28.7934
2012-03-02,-22.9979
2012-03-05,-6.6667
2012-03-06,-24.9714
2012-03-07,14.0518
2012-03-08,-8.1813
2012-03-09,15.9104
2012-03-12,-7.6078
2012-03-13,-6.6213999999999995
2012-03-14,-4.1818
2012-03-15,-4.9336
2012-03-16,8.782399999999999
2012-03-19,-3.8532
2012-03-20,-11.5458
2012-03-21,-4.5306999999999995
2012-03-22,-1.1299
2012-03-23,2.8571
2012-03-26,-2.7778
2012-03-27,4.5714
2012-03-28,-4.3716
2012-03-29,2.8571
2012-03-30,-1.6667
2012-04-03,-5.8757
2012-04-04,2.0408
2012-04-09,-5.2941
2012-04-10,-6.8323
2012-04-11,-3.3333
2012-04-20,3.4466
2012-04-27,-8.2651
2012-04-30,6.8314
2012-05-01,6.9388
2012-05-02,-10.8142
2012-05-08,6.99
2012-05-15,-13.3333
2012-05-17,0.0
2012-05-18,3.8442
2012-05-21,-3.7612
2012-05-25,-7.6355
2012-05-29,0.0
2012-05-31,-16.5
2012-06-01,39.4411
2012-06-04,-10.3206
2012-06-06,-4.2298
2012-06-07,0.0
2012-06-11,0.0
2012-06-12,7.8333
2012-06-14,-2.1638
2012-06-19,-9.9526
2012-06-20,-7.0175
2012-06-21,0.0
2012-06-22,-10.3774
2012-06-27,0.0
2012-06-28,-5.2632
2012-06-29,-27.5556
2012-07-02,13.4969
2012-07-03,-2.7027
2012-07-05,-16.3889
2012-07-06,65.7807
2012-07-09,93.3868
2012-07-10,37.8238
2012-07-11,-14.2105
2012-07-12,10.9553
2012-07-13,0.1437
2012-07-16,-13.0317
2012-07-17,-14.747
2012-07-18,5.3191
2012-07-19,3.6364
2012-07-20,-0.6823
2012-07-23,3.5329
2012-07-24,-4.7553
2012-07-25,13.85
2012-07-26,-6.2079
2012-07-27,-6.7085
2012-07-30,-2.0979
2012-07-31,-5.6122
2012-08-01,-2.5946
2012-08-02,-5.7839
2012-08-03,-0.2223
2012-08-06,10.0354
2012-08-07,-4.4206
2012-08-08,-5.0292
2012-08-09,-3.0733
2012-08-10,-15.4878
2012-08-13,1.0101
2012-08-14,0.4286
2012-08-15,-0.2845
2012-08-16,-0.1427
2012-08-17,0.0
2012-08-20,-1.4285999999999999
