ticker,HCCI US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2008-03-12,23.3913
2008-03-13,-2.2551
2008-03-14,-2.235
2008-03-17,-4.1298
2008-03-18,8.3846
2008-03-19,0.071
2008-03-20,1.5603
2008-03-24,-0.3492
2008-03-25,2.2425
2008-03-26,3.9068
2008-03-27,3.8259
2008-03-28,-0.0635
2008-03-31,-0.5086
2008-04-01,0.1278
2008-04-02,-2.0421
2008-04-03,1.8241
2008-04-04,-0.4798
2008-04-07,-0.675
2008-04-08,-0.0647
2008-04-09,-0.7772
2008-04-10,-0.1305
2008-04-11,-0.0654
2008-04-14,0.0654
2008-04-15,0.0
2008-04-16,0.2614
2008-04-17,2.0209
2008-04-18,-2.1086
2008-04-21,3.8512
2008-04-22,5.2168
2008-04-23,0.4182
2008-04-24,7.3766
2008-04-25,2.2161
2008-04-28,-4.065
2008-04-29,-0.2825
2008-04-30,-2.3229
2008-05-01,-0.8121
2008-05-02,-2.6901
2008-05-05,-2.2837
2008-05-06,1.6604999999999999
2008-05-07,-3.9322
2008-05-08,-3.0227
2008-05-09,1.168
2008-05-12,3.5952
2008-05-13,-5.3903
2008-05-14,-5.0426
2008-05-15,-2.5862
2008-05-16,2.654
2008-05-19,-1.0336
2008-05-20,-1.324
2008-05-21,1.3418
2008-05-22,-2.2997
2008-05-23,-1.9258
2008-05-27,1.7445
2008-05-28,2.5742000000000003
2008-05-29,-0.6969
2008-05-30,8.3509
2008-06-02,-1.3601
2008-06-03,-1.5102
2008-06-04,-0.6675
2008-06-05,-0.2676
2008-06-06,-4.1723
2008-06-09,-1.0534
2008-06-10,-1.2065
2008-06-11,-3.3045999999999998
2008-06-12,-0.0743
2008-06-13,-2.3792
2008-06-16,-6.0168
2008-06-17,0.5673
2008-06-18,-1.2086999999999999
2008-06-19,5.7096
2008-06-20,-2.392
2008-06-23,-0.3953
2008-06-24,-0.0794
2008-06-25,0.2383
2008-06-26,2.3296
2008-06-27,-0.2633
2008-06-30,2.4845
2008-07-01,2.4242
2008-07-02,2.5148
2008-07-03,-5.6998999999999995
2008-07-07,-7.9572
2008-07-08,0.1663
2008-07-09,0.0
2008-07-10,7.7178
2008-07-11,-2.6965
2008-07-14,0.8709
2008-07-15,-1.8838
2008-07-16,4.0
2008-07-17,-3.5385
2008-07-18,0.7974
2008-07-21,0.4747
2008-07-22,1.1024
2008-07-23,-0.3115
2008-07-24,2.4219
2008-07-25,2.5934
2008-07-28,10.9294
2008-07-29,-4.7587
2008-07-30,-0.0704
