ticker,MGYR US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2006-01-25,0.0
2006-01-26,0.0
2006-01-27,-0.939
2006-01-30,-0.4739
2006-01-31,0.4762
2006-02-01,-0.4739
2006-02-02,-0.381
2006-02-03,0.6692
2006-02-06,0.1899
2006-02-07,-0.8531
2006-02-08,0.478
2006-02-09,0.5709
2006-02-10,-0.473
2006-02-13,0.4753
2006-02-14,-0.6623
2006-02-15,0.9524
2006-02-16,-0.283
2006-02-17,-0.6623
2006-02-21,0.9524
2006-02-22,-0.4717
2006-02-23,0.4739
2006-02-24,0.0
2006-02-27,-0.3774
2006-02-28,0.1894
2006-03-01,-0.189
2006-03-02,0.3788
2006-03-03,0.283
2006-03-06,0.1881
2006-03-07,0.0
2006-03-08,0.939
2006-03-09,0.2791
2006-03-10,0.5566
2006-03-13,1.476
2006-03-14,0.0
2006-03-15,0.7273
2006-03-16,0.8123
2006-03-17,4.9239
2006-03-20,-1.2799
2006-03-21,2.4201
2006-03-22,2.616
2006-03-23,1.2336
2006-03-24,-0.1625
2006-03-27,0.2441
2006-03-28,0.0
2006-03-29,0.1623
2006-03-30,-1.5396999999999998
2006-03-31,-1.07
2006-04-03,-1.8303
2006-04-04,-5.8475
2006-04-05,1.7102
2006-04-06,1.0619
2006-04-07,1.4011
2006-04-10,-2.2453
2006-04-11,-2.3852
2006-04-12,1.81
2006-04-17,0.6222
2006-04-18,2.0318
2006-04-20,-0.2597
2006-04-21,-0.1736
2006-04-24,0.0
2006-04-26,0.8696
2006-04-27,-0.7759
2006-04-28,1.3032
2006-05-01,-0.5146
2006-05-02,1.3793
2006-05-03,0.7653
2006-05-04,-1.6878
2006-05-05,-0.1717
2006-05-08,-0.172
2006-05-09,0.5943
2006-05-10,-0.9333
2006-05-11,0.4322
2006-05-12,-0.1721
2006-05-15,0.7112
2006-05-17,-0.6206
2006-05-19,-1.4643
2006-05-22,0.0
2006-05-23,-0.1748
2006-05-26,-2.0315
2006-05-30,0.1073
2006-05-31,0.4464
2006-06-01,3.2889
2006-06-02,-0.8606
2006-06-05,0.6076
2006-06-06,-0.0863
2006-06-07,-1.8135
2006-06-08,3.1662
2006-06-09,0.0853
2006-06-12,-0.3407
2006-06-13,-3.5042999999999997
2006-06-14,0.9743
2006-06-15,1.6667
2006-06-21,-1.0354
2006-06-23,-0.1744
2006-06-26,-0.8734
2006-06-27,-1.1454
2006-06-30,-0.1783
2006-07-05,-0.0893
2006-07-06,2.5022
2006-07-10,-2.1796
