ticker,RTAS US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2007-10-15,0.0
2008-02-22,-50.0
2009-03-24,25.0
2011-05-24,-91.6667
2011-06-20,500.0
2011-06-28,-16.6667
2011-06-30,0.0
2011-07-01,0.0
2011-10-05,-80.0
2012-07-18,100.0
2012-07-26,10.0
2012-09-28,-54.5455
2014-02-25,0.0
2014-06-16,0.0
2015-06-15,20.0
2015-12-28,-33.3333
2015-12-29,0.0
2016-10-13,525.0
2016-10-14,60.0
2016-10-17,-72.5
2016-10-18,39.7159
2016-11-07,95.2013
2016-11-08,-33.0
2016-12-13,-25.3731
2018-04-04,-20.0
2019-01-08,0.0
2019-02-05,8.3333
2019-02-15,0.0
2019-03-20,53.8462
2019-03-27,-45.0
2019-04-02,5.4545
2019-04-11,-5.1724
2019-05-07,-9.0909
2019-05-20,100.0
2019-05-22,25.0
2019-06-11,-60.0
2019-06-13,100.0
2019-07-01,0.0
2019-07-12,95.0
2019-08-07,25.641
2019-08-29,-68.102
2019-09-05,19.1939
2019-10-14,-26.8384
2019-10-31,46.7351
2019-11-05,137.5
2019-12-11,-5.2632
2020-04-14,-69.7111
2020-06-05,0.0
2020-06-24,0.1467
