ticker,FCRD US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2010-04-22,-1.9231
2010-04-23,-0.3922
2010-04-26,0.0
2010-04-27,-0.1575
2010-04-28,0.0
2010-04-29,0.0789
2010-04-30,2.4429
2010-05-03,-0.3846
2010-05-04,-0.4633
2010-05-05,-2.2498
2010-05-06,-3.5714
2010-05-07,-1.893
2010-05-10,1.2584
2010-05-11,4.3911
2010-05-12,-3.1746
2010-05-13,-0.9836
2010-05-14,-0.5795
2010-05-17,-0.1665
2010-05-18,-0.1668
2010-05-19,1.1696
2010-05-20,-0.9083
2010-05-21,2.3333
2010-05-24,-6.5961
2010-05-25,-3.2258
2010-05-26,0.7207
2010-05-27,0.805
2010-05-28,4.9689
2010-06-01,4.0575
2010-06-02,-3.2494
2010-06-03,3.2326
2010-06-04,-1.6673
2010-06-07,-4.7146
2010-06-08,-3.2986
2010-06-09,0.7181
2010-06-10,0.0891
2010-06-11,0.6233
2010-06-14,3.7168
2010-06-15,-1.4505
2010-06-16,-3.5498
2010-06-17,-0.4488
2010-06-18,1.2624
2010-06-21,0.5343
2010-06-22,0.9743
2010-06-23,3.2456
2010-06-24,0.2549
2010-06-25,0.2542
2010-06-28,-4.9028
2010-06-29,-1.0667
2010-06-30,3.3243
2010-07-01,-4.4348
2010-07-02,1.1829
2010-07-06,-1.5288
2010-07-07,3.0137
2010-07-08,0.266
2010-07-09,-0.4421
2010-07-12,-1.5098
2010-07-13,3.6069
2010-07-14,-0.8703
2010-07-15,6.4091000000000005
2010-07-16,-3.4653
2010-07-19,0.9402
2010-07-20,1.6088
2010-07-21,-1.6667
2010-07-22,1.3559
2010-07-23,1.0033
2010-07-26,-0.6623
2010-07-27,0.6667
2010-07-28,-0.5795
2010-07-29,2.1649
2010-07-30,0.2445
2010-08-02,-2.1951
2010-08-03,-1.0806
2010-08-04,1.0084
2010-08-05,-0.6656
2010-08-06,0.5025
2010-08-09,0.75
2010-08-10,1.3234
2010-08-11,-6.1224
2010-08-12,2.8696
2010-08-13,0.0
2010-08-16,1.3525
2010-08-17,-0.2502
2010-08-18,-0.9197
2010-08-19,-2.2785
2010-08-20,0.1727
2010-08-23,-3.2759
2010-08-24,2.4955
2010-08-25,1.8260999999999998
2010-08-26,0.0
2010-08-27,4.6968
2010-08-30,-5.3834
2010-08-31,0.3448
2010-09-01,3.5375
2010-09-02,-0.0833
2010-09-03,-1.5847
2010-09-07,-4.2373
2010-09-08,1.5929
2010-09-09,0.0
2010-09-10,1.2195
