ticker,VIDA US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2008-10-07,0.0
2008-10-10,0.0
2008-10-22,-57.8947
2008-12-02,0.0
2008-12-16,6.25
2008-12-19,0.0
2008-12-22,0.0
2008-12-29,0.0
2009-01-06,0.0
2009-01-07,5.8824
2009-01-12,-11.1111
2009-01-13,12.5
2009-01-21,0.0
2009-02-10,5.5556
2009-02-20,-10.526299999999999
2009-02-24,11.7647
2009-03-23,5.2632
2009-03-27,0.0
2009-03-31,0.0
2009-04-27,1.0
2009-04-28,0.0
2009-05-26,0.0
2009-07-30,-45.5446
2009-08-11,-27.2727
2009-08-12,0.0
2009-08-17,0.0
2009-08-18,0.0
2009-08-19,10.0
2009-08-24,11.3636
2009-08-25,0.0
2009-08-26,0.0
2009-08-27,-89.7959
2009-08-28,960.0
2009-08-31,39.6226
2009-09-01,-2.7027
2009-09-02,-16.6667
2009-09-03,-13.3333
2009-09-04,-7.6923
2009-09-08,3.75
2009-09-09,0.0
2009-09-10,0.0
2009-09-11,0.0
2009-09-14,-9.6386
2009-09-15,-6.6667
2009-09-16,-4.7619
2009-09-17,-10.0
2009-09-18,2.7778
2009-09-21,21.3514
2009-09-22,0.0
2009-09-23,2.4499
2009-09-24,-2.1739
2009-09-25,-0.2222
2009-09-28,4.6771
2009-09-29,-14.8936
2009-09-30,8.75
2009-10-01,3.2184
2009-10-02,-2.0045
2009-10-05,2.2727
2009-10-06,2.2222
2009-10-07,-2.1739
2009-10-08,2.2222
2009-10-09,-15.2174
2009-10-12,15.3846
2009-10-13,0.0
2009-10-14,-15.5556
2009-10-15,5.2632
2009-10-16,-7.5
2009-10-19,1.3514
2009-10-20,6.6667
2009-10-21,-12.5
2009-10-22,-5.7143
2009-10-23,0.0
2009-10-26,9.0909
2009-10-27,2.7778
2009-10-28,8.1081
2009-10-29,0.0
2009-10-30,-2.5
2009-11-02,-10.2564
2009-11-03,8.5714
2009-11-04,-15.7895
2009-11-05,12.5
2009-11-06,-16.6667
2009-11-09,13.0
2009-11-10,-11.5044
2009-11-11,13.3333
2009-11-12,-8.8235
2009-11-13,6.4516
2009-11-16,3.0303
2009-11-17,-11.7647
2009-11-18,-20.0
2009-11-19,22.9167
2009-11-20,35.5932
2009-11-23,2.5
2009-11-24,-12.1951
2009-11-25,-2.7778
2009-11-27,2.8571
2009-11-30,-2.7778
2009-12-01,2.8571
2009-12-02,-13.8889
2009-12-03,0.0
2009-12-04,19.3548
2009-12-07,0.0
2009-12-08,-8.1081
