ticker,HALB US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2009-06-26,500.0
2009-06-30,25.0
2009-07-01,-20.0
2009-07-02,-8.3333
2009-07-06,18.1818
2009-07-09,-23.0769
2009-07-10,0.0
2009-07-13,-20.0
2009-07-14,0.0
2009-07-15,0.0
2009-07-28,-62.5
2009-07-29,0.0
2009-07-31,240.0
2009-08-05,-60.7843
2009-08-10,-10.0
2009-08-11,-16.6667
2009-08-13,33.3333
2009-08-19,0.0
2009-08-21,-50.0
2009-08-24,100.0
2009-08-25,-75.0
2009-08-26,200.0
2009-09-03,33.3333
2009-09-14,-30.0
2009-09-17,-14.2857
2009-09-18,-16.6667
2009-09-21,20.0
2009-09-23,-58.3333
2009-09-24,60.0
2009-09-25,0.0
2009-09-28,-37.5
2009-09-29,40.0
2009-10-01,0.0
2009-10-05,0.0
2009-10-06,-41.4286
2009-10-07,58.5366
2009-10-09,-23.0769
2009-10-12,40.0
2009-10-13,-28.5714
2009-10-15,0.0
2009-10-20,-10.0
2009-10-22,-33.3333
2009-11-05,32.9167
2009-11-09,0.0
2009-12-09,-74.9216
2009-12-15,80.0
2010-03-19,-99.3056
2010-05-28,1500.0
2010-08-19,150.0
2010-10-27,-57.5
2010-12-13,370.5882
2011-02-15,100.0
2011-02-17,150.0
2011-02-18,20.0
2011-02-22,66.6667
2011-02-23,-10.0
2011-02-24,-77.7778
2011-02-28,400.0
2011-03-02,40.0
2011-03-03,-64.2857
2011-03-16,0.0
2011-04-19,0.0
2011-04-20,0.0
2011-04-25,-20.0
2011-05-06,-87.5
2011-05-18,900.0
2011-05-26,0.0
2011-05-31,20.0
2011-06-06,-66.6667
2011-06-09,37.5
2011-06-13,27.2727
2011-06-14,71.4286
2011-06-16,0.0
2011-06-17,16.6667
2011-06-20,-14.2857
2011-06-21,0.0
2011-06-24,-16.6667
2011-07-15,-40.0
2011-07-25,66.6667
2011-07-27,40.0
2011-08-03,14.2857
2011-08-04,0.0
2011-09-02,-31.25
2011-09-07,-9.0909
2011-09-08,50.0
2011-09-09,-6.6667
2011-09-12,42.8571
2011-09-13,40.0
2011-09-14,-0.7143
2011-09-15,0.7194
2011-09-16,0.0
2011-09-19,-57.1429
2011-09-20,41.6667
2011-09-21,-27.0588
2011-09-23,4.8387
2011-09-26,-4.6154
2011-09-27,37.0968
2011-09-28,-5.8824
2011-09-30,-25.0
2011-10-03,50.0
2011-10-04,-1.1111
2011-10-05,-25.8427
2011-10-06,21.2121
2011-10-10,-25.0
