ticker,KLXE US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2018-08-30,4.9834
2018-08-31,0.4219
2018-09-04,0.1751
2018-09-05,-0.0699
2018-09-06,-0.5596
2018-09-07,0.0352
2018-09-10,-2.6195
2018-09-11,-2.5095
2018-09-12,1.2593
2018-09-13,-0.8413
2018-09-14,6.6027000000000005
2018-09-17,3.7716
2018-09-18,-1.9005999999999998
2018-09-19,-1.9035
2018-09-20,0.2426
2018-09-21,1.3826
2018-09-24,-1.8411
2018-09-25,5.4533
2018-09-26,1.1858
2018-09-27,4.3294
2018-09-28,-0.1248
2018-10-01,-3.4052
2018-10-02,3.4929
2018-10-03,3.0
2018-10-04,-0.2427
2018-10-05,-0.4562
2018-10-08,3.147
2018-10-09,2.1623
2018-10-10,-0.087
2018-10-11,-0.2612
2018-10-12,-3.666
2018-10-15,1.2685
2018-10-16,1.4017
2018-10-17,-2.5294
2018-10-18,-3.5003
2018-10-19,0.9381
2018-10-22,5.948
2018-10-23,-1.7250999999999999
2018-10-24,-2.9753
2018-10-25,-4.3545
2018-10-26,-2.8535
2018-10-29,-5.5116
2018-10-30,-0.3144
2018-10-31,1.2263
2018-11-01,-0.0346
2018-11-02,-0.8657
2018-11-05,1.2225
2018-11-06,0.1725
2018-11-07,1.2401
2018-11-08,1.2589000000000001
2018-11-09,-0.2016
2018-11-12,0.4714
2018-11-13,-2.5804
2018-11-14,-1.8576000000000001
2018-11-15,0.1402
2018-11-16,-0.63
2018-11-19,-6.5516
2018-11-20,-7.8025
2018-11-21,-1.5127000000000002
2018-11-23,-4.3587
2018-11-26,-5.599
2018-11-27,-5.7011
2018-11-28,-0.2438
2018-11-29,-1.4663
2018-11-30,0.1488
2018-12-03,3.9128
2018-12-04,-5.6244
2018-12-06,27.4242
2018-12-07,-2.1799
2018-12-10,1.0535
2018-12-11,0.3208
2018-12-12,-2.1583
2018-12-13,-3.1046
2018-12-14,0.1686
2018-12-17,4.1246
2018-12-18,1.1722
2018-12-19,-1.9577
2018-12-20,0.2445
2018-12-21,-8.1707
2018-12-24,-4.8251
2018-12-26,9.0698
2018-12-27,1.4925
2018-12-28,4.6218
2018-12-31,-5.8233
2019-01-02,4.2644
2019-01-03,-4.908
2019-01-04,4.6452
2019-01-07,7.6449
2019-01-08,-2.1
2019-01-09,1.5991
2019-01-10,3.6468
2019-01-11,4.0741
2019-01-14,-2.9893
2019-01-15,0.7704
2019-01-16,1.9294
2019-01-17,1.3571
2019-01-18,-1.4447
