ticker,MNKKQ US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2013-06-18,-2.2222
2013-06-19,-2.0455
2013-06-20,-0.3712
2013-06-21,1.3041
2013-06-24,0.0
2013-06-25,1.1494
2013-06-26,0.2273
2013-06-27,1.9274
2013-06-28,1.0679
2013-07-01,-3.1477
2013-07-02,-3.9545
2013-07-03,1.9877
2013-07-05,2.6218
2013-07-08,-2.7583
2013-07-09,0.6045
2013-07-10,-2.6577
2013-07-11,0.6648
2013-07-12,-1.0377
2013-07-15,-0.2145
2013-07-16,-0.8598
2013-07-17,1.0118
2013-07-18,2.7664999999999997
2013-07-19,0.9051
2013-07-22,0.069
2013-07-23,1.1262
2013-07-24,-0.0455
2013-07-25,0.9095
2013-07-26,1.5097
2013-07-29,2.5526999999999997
2013-07-30,2.0779
2013-07-31,-2.693
2013-08-01,0.7191
2013-08-02,-0.8438
2013-08-05,-1.5056
2013-08-06,-1.728
2013-08-07,0.9468
2013-08-08,2.5458
2013-08-09,-1.2195
2013-08-12,-0.0882
2013-08-13,-1.4563
2013-08-14,-1.2315
2013-08-15,-2.7658
2013-08-16,-0.4663
2013-08-19,0.3045
2013-08-20,0.4204
2013-08-21,-1.1628
2013-08-22,0.0
2013-08-23,-0.4
2013-08-26,0.7796
2013-08-27,-0.0469
2013-08-28,3.1426
2013-08-29,0.2046
2013-08-30,-0.953
2013-09-03,2.2222
2013-09-04,0.8965
2013-09-05,2.3989
2013-09-06,1.6052
2013-09-09,-0.5551
2013-09-10,-2.5333
2013-09-11,-1.1013
2013-09-12,-0.98
2013-09-13,-1.9343
2013-09-16,-0.7798
2013-09-17,0.1849
2013-09-18,-0.5538
2013-09-19,-0.9745
2013-09-20,0.8669
2013-09-23,-1.0918
2013-09-24,-0.6341
2013-09-25,3.0489
2013-09-26,1.3073000000000001
2013-09-27,-1.3584
2013-09-30,1.1935
2013-10-01,-0.4536
2013-10-02,2.3468
2013-10-03,-1.4025
2013-10-04,0.4741
2013-10-07,-1.191
2013-10-08,-1.2054
2013-10-09,0.1842
2013-10-10,0.0
2013-10-11,0.4825
2013-10-14,1.2577
2013-10-15,1.5131000000000001
2013-10-16,-1.4238
2013-10-17,-2.7984999999999998
2013-10-18,-1.4395
2013-10-21,-0.212
2013-10-22,0.5666
2013-10-23,2.0188
2013-10-24,0.9664
2013-10-25,-1.4129
2013-10-28,0.2543
2013-10-29,-0.7148
2013-10-30,-1.8346
2013-10-31,-0.6151
2013-11-01,2.0709
2013-11-04,2.0056
