ticker,IZNN US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2007-05-31,-36.6667
2007-06-08,0.0
2007-06-22,-35.7895
2007-06-26,22.9508
2007-06-27,0.0
2007-06-28,0.0
2007-07-23,-45.3333
2007-07-24,0.0
2007-07-25,95.122
2007-07-26,-12.5
2007-08-01,7.1429
2007-08-02,17.3333
2007-08-06,1.1364
2007-08-08,-4.4944
2007-08-09,17.647100000000002
2007-08-10,-5.0
2007-08-14,31.5789
2007-08-15,0.0
2007-08-17,-4.0
2007-08-23,4.1667
2007-08-24,0.0
2007-08-27,12.0
2007-08-28,0.0
2007-08-29,0.0
2007-08-30,0.0
2007-09-04,0.0
2007-09-06,0.0
2007-09-10,-4.2857
2007-09-13,4.4776
2007-09-14,0.0
2007-09-19,0.0
2007-09-20,0.0
2007-09-21,0.0
2007-09-25,1.4285999999999999
2007-09-26,2.1127
2007-09-27,1.3793
2007-09-28,0.0
2007-10-01,-0.6803
2007-10-02,0.0
2007-10-03,0.0
2007-10-04,0.0
2007-10-05,-4.1096
2007-10-10,0.0
2007-10-19,-3.5714
2007-10-26,3.7037
2007-10-30,-1.4285999999999999
2007-11-02,1.4493
2007-11-09,-7.1429
2007-11-14,7.6923
2007-11-21,-21.4286
2007-11-23,9.0909
2007-11-26,-1.6667
2007-11-27,-2.5423999999999998
2007-11-28,4.3478
2007-11-30,-8.3333
2007-12-06,9.0909
2007-12-07,8.3333
2007-12-10,0.0
2007-12-11,-3.8462
2007-12-12,0.0
2007-12-13,4.0
2007-12-19,0.0
2007-12-21,-3.8462
2007-12-24,0.0
2007-12-28,2.4
2008-01-02,-6.25
2008-01-03,0.0
2008-01-04,-4.1667
2008-01-09,-12.1739
2008-01-14,8.9109
2008-01-16,-9.0909
2008-01-17,10.0
2008-01-18,0.0
2008-01-29,0.0
2008-01-30,0.0
2008-01-31,-8.1818
2008-02-01,3.9604
2008-02-21,-0.9524
2008-02-22,-2.8846
2008-02-25,0.0
2008-02-26,8.9109
2008-02-27,-8.1818
2008-03-03,8.9109
2008-03-10,0.0
2008-03-11,-8.1818
2008-03-17,0.0
2008-03-20,8.9109
2008-03-27,-5.4545
2008-03-31,-13.461500000000001
2008-04-02,-3.3333
2008-04-03,16.092
2008-04-07,0.0
2008-04-08,3.9604
2008-04-11,0.0
2008-04-15,-1.9048
2008-04-17,-0.9709
2008-04-18,2.9412000000000003
2008-04-23,0.9524
2008-04-24,0.0
2008-04-30,1.8868
2008-05-01,-2.7778
2008-05-12,0.0
