ticker,ATNX US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2017-06-14,14.1818
2017-06-15,8.9172
2017-06-16,1.5351
2017-06-19,4.5356
2017-06-20,-0.2066
2017-06-21,-0.4831
2017-06-22,3.6755
2017-06-23,1.204
2017-06-26,-0.1983
2017-06-27,12.5166
2017-06-28,2.4132
2017-06-29,-6.8966
2017-06-30,-1.2346
2017-07-03,4.0625
2017-07-05,2.3423
2017-07-06,4.4014
2017-07-07,3.5413
2017-07-10,-1.6287
2017-07-11,-0.7174
2017-07-12,0.5559
2017-07-13,3.4826
2017-07-14,0.5342
2017-07-17,-1.4346
2017-07-18,-0.2156
2017-07-19,0.054
2017-07-20,0.486
2017-07-21,-0.9135
2017-07-24,1.5727
2017-07-25,-0.961
2017-07-26,-2.8032
2017-07-27,-4.6589
2017-07-28,0.349
2017-07-31,-0.7536
2017-08-01,-1.5187
2017-08-02,-2.669
2017-08-03,-15.5393
2017-08-04,3.9683
2017-08-07,-1.3879000000000001
2017-08-08,-4.9965
2017-08-09,0.5185
2017-08-10,0.5895
2017-08-11,7.033
2017-08-14,5.681
2017-08-15,6.8652999999999995
2017-08-16,0.6667
2017-08-17,-6.6225000000000005
2017-08-18,-1.9987
2017-08-21,5.2632
2017-08-22,0.0
2017-08-23,0.0
2017-08-24,-0.1875
2017-08-25,-2.0038
2017-08-28,2.2364
2017-08-29,1.0625
2017-08-30,0.4329
2017-08-31,5.665
2017-09-01,1.3986
2017-09-05,7.4713
2017-09-06,4.3316
2017-09-07,-3.2291
2017-09-08,-6.5678
2017-09-11,-1.1905000000000001
2017-09-12,-2.5244
2017-09-13,-3.2372
2017-09-14,-0.365
2017-09-15,2.8083
2017-09-18,1.1283
2017-09-19,2.2901
2017-09-20,2.1814
2017-09-21,-1.8538999999999999
2017-09-22,-3.6634
2017-09-25,1.1884000000000001
2017-09-26,1.7029
2017-09-27,2.2517
2017-09-28,-3.5008
2017-09-29,2.4576000000000002
2017-10-02,-0.6282
2017-10-03,2.1264
2017-10-04,1.7445
2017-10-05,0.9403
2017-10-06,3.3973
2017-10-09,0.318
2017-10-10,1.1622
2017-10-11,-0.8355
2017-10-12,-3.3175
2017-10-13,-5.0654
2017-10-16,-0.7458
2017-10-17,-1.5029
2017-10-18,0.5869
2017-10-19,-0.3501
2017-10-20,0.2927
2017-10-23,-0.8173
2017-10-24,0.2354
2017-10-25,0.0
2017-10-26,-1.9378
2017-10-27,1.2575
2017-10-30,-0.3548
2017-10-31,-0.6528
