ticker,HGGGQ US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2007-07-20,11.9231
2007-07-23,5.7732
2007-07-24,-1.2346
2007-07-25,-1.9737
2007-07-26,-2.0134
2007-07-27,-3.9041
2007-07-30,0.7128
2007-07-31,0.8493
2007-08-01,-3.2281
2007-08-02,-2.248
2007-08-03,0.1484
2007-08-06,0.2222
2007-08-07,0.5765
2007-08-08,1.1905000000000001
2007-08-09,-1.8881999999999999
2007-08-10,-0.7402
2007-08-13,0.7457
2007-08-14,0.0
2007-08-15,-0.074
2007-08-16,-0.7407
2007-08-17,0.3731
2007-08-20,-0.3717
2007-08-21,-1.5672000000000001
2007-08-22,-0.6823
2007-08-23,1.8321
2007-08-24,0.3748
2007-08-27,-0.3734
2007-08-28,-2.9234999999999998
2007-08-29,1.5444
2007-08-30,-2.2814
2007-08-31,-0.3891
2007-09-04,2.3437
2007-09-05,-1.8321
2007-09-06,1.0886
2007-09-07,-1.5385
2007-09-10,-5.4688
2007-09-11,-0.8264
2007-09-12,-2.5
2007-09-13,-1.6239
2007-09-14,-1.4769999999999999
2007-09-17,-2.9101
2007-09-18,3.1789
2007-09-19,3.5211
2007-09-20,0.2551
2007-09-21,8.9907
2007-09-24,-2.7237
2007-09-25,-5.6
2007-09-26,0.0847
2007-09-27,-3.5563000000000002
2007-09-28,-7.8139
2007-10-01,8.2857
2007-10-02,0.6157
2007-10-03,1.3112
2007-10-04,3.0198
2007-10-05,2.3451
2007-10-08,4.9918
2007-10-09,3.4295
2007-10-10,0.9797
2007-10-11,1.4925
2007-10-12,-0.5147
2007-10-15,0.5174
2007-10-16,-1.4706000000000001
2007-10-17,1.791
2007-10-18,2.1261
2007-10-19,-1.9383
2007-10-22,0.4392
2007-10-23,5.758
2007-10-24,2.1365
2007-10-25,0.0675
2007-10-26,4.383
2007-10-29,3.876
2007-10-30,-3.1716
2007-10-31,1.2203
2007-11-01,0.3173
2007-11-02,1.2018
2007-11-05,-2.625
2007-11-06,1.2195
2007-11-07,-5.707
2007-11-08,-1.4795
2007-11-09,-4.5734
2007-11-12,-1.5737
2007-11-13,7.5581
2007-11-14,4.5946
2007-11-15,-2.3902
2007-11-16,-0.728
2007-11-19,-7.3333
2007-11-20,-4.3165
2007-11-21,-2.0301
2007-11-23,2.2256
2007-11-26,4.1291
2007-11-27,-4.8306000000000004
2007-11-28,2.2727
2007-11-29,1.1111
2007-11-30,2.9304
2007-12-03,-0.9253
2007-12-04,-1.8678
2007-12-05,2.4158
