ticker,TNRK US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-02-24,-6.6667
2000-02-25,0.0
2000-03-09,21.4286
2000-03-14,-17.647100000000002
2000-03-15,28.5714
2000-03-22,-5.5556
2000-03-30,-8.8235
2000-04-11,0.0
2000-04-25,-16.129
2000-06-01,26.9231
2000-06-07,-15.1515
2000-06-08,-7.1429
2000-06-30,1.9231
2000-07-18,-1.8868
2000-07-20,9.6154
2000-07-25,-12.2807
2000-09-11,0.0
2000-09-19,-2.0
2000-09-21,0.0
2000-09-22,-8.1633
2000-10-17,-2.2222
2000-11-03,27.2727
2000-11-08,-17.8571
2000-11-14,0.0
2000-11-27,21.7391
2000-12-07,0.0
2000-12-11,46.4286
2000-12-12,-17.0732
2000-12-13,-17.647100000000002
2000-12-22,0.0
2000-12-29,-3.5714
2001-01-04,0.0
2001-01-05,3.7037
2001-01-29,0.0
2001-03-14,28.5714
2001-06-01,-22.1111
2001-06-18,-1.5692
2001-06-20,37.6812
2001-06-26,0.0
2001-09-18,-27.3684
2001-09-24,0.0
2001-09-26,0.0
2001-09-27,0.0
2001-11-07,34.058
2001-11-08,-26.4865
2001-11-09,0.0
2001-11-12,0.0
2001-11-14,17.647100000000002
2001-11-15,-13.75
2001-11-21,5.0725
2001-11-27,0.0
2001-11-30,9.2414
2001-12-03,1.0101
2001-12-17,12.5
2001-12-26,-19.4444
2001-12-28,24.1379
2002-02-13,0.0
2002-02-25,-20.0
2002-03-13,4.1667
2002-04-29,10.0
2002-05-06,-5.4545
2002-05-21,15.3846
2002-05-23,0.0
2002-06-10,-5.5556
2002-06-13,5.8824
2002-06-24,-5.5556
2002-06-25,5.8824
2002-06-27,0.0
2002-07-01,0.5556
2002-07-08,13.1492
2002-07-09,4.9805
2002-07-10,-20.9302
2002-08-01,6.0
2002-08-06,16.5372
2002-08-30,-18.0952
2002-11-05,22.093
2002-11-15,-9.5238
2002-12-06,10.526299999999999
2002-12-19,14.2857
2002-12-23,0.0
2002-12-30,-8.3333
2003-01-03,0.0
2003-01-16,22.7273
2003-01-31,-16.5926
2003-02-18,-0.0888
2003-03-26,2.2222
2003-04-03,-4.3478
2003-05-06,9.1818
2003-06-09,4.0799
2003-06-12,20.0
2003-06-13,13.3333
2003-07-15,-11.7647
2003-07-17,0.0
2003-07-18,6.4
2003-07-25,-6.015
2003-08-11,0.0
2003-08-12,10.0
2003-09-02,3.0303
2003-09-30,-7.3529
2003-10-14,1.5238
2003-10-16,-1.5009000000000001
