ticker,MRIB US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2006-05-03,96.0784
2006-05-04,0.0
2006-05-05,0.0
2006-05-11,-20.0
2006-05-12,12.5
2006-05-15,0.0
2006-05-16,0.0
2006-05-24,-72.2222
2006-05-31,-60.0
2006-06-02,0.0
2006-06-21,0.0
2006-06-22,120.0
2006-06-23,-18.1818
2006-06-26,11.1111
2006-06-27,0.0
2006-06-28,-10.0
2006-06-29,0.0
2006-06-30,0.0
2006-07-05,0.0
2006-07-06,-21.1111
2006-07-10,26.7606
2006-07-13,-22.2222
2006-07-14,-7.1429
2006-07-17,0.0
2006-07-18,-15.3846
2006-07-19,18.1818
2006-07-20,-15.3846
2006-07-21,9.0909
2006-07-24,-16.6667
2006-07-28,0.0
2006-08-02,0.0
2006-08-03,0.0
2006-08-04,-50.0
2006-08-07,20.0
2006-08-11,-16.6667
2006-08-15,0.0
2006-08-16,-20.0
2006-08-17,0.0
2006-08-23,0.0
2006-08-28,75.0
2006-08-29,28.5714
2006-08-30,-21.1111
2006-08-31,0.0
2006-09-05,-1.4085
2006-09-06,-21.4286
2006-09-08,0.0
2006-09-12,-7.2727
2006-09-14,76.4706
2006-09-15,0.0
2006-09-19,5.5556
2006-09-21,-15.7895
2006-10-02,-12.5
2006-10-04,-14.2857
2006-10-05,-31.6667
2006-10-16,46.3415
2006-10-17,0.0
2006-10-18,-30.0
2006-10-20,42.8571
2006-10-24,33.3333
2006-10-25,-37.5
2006-11-01,40.0
2006-11-02,-14.2857
2006-11-03,-25.0
2006-11-06,0.0
2006-11-07,-8.8889
2006-11-08,21.9512
2006-11-09,0.0
2006-11-14,10.0
2006-11-15,-27.2727
2006-11-16,50.0
2006-11-20,-33.3333
2006-11-21,0.0
2006-11-22,7.5
2006-11-24,-6.9767
2006-11-27,0.0
2006-11-28,0.0
2006-11-29,-12.5
2006-11-30,0.0
2006-12-01,2.8571
2006-12-07,0.0
2006-12-08,0.0
2006-12-11,0.0
2006-12-13,5.5556
2006-12-14,5.2632
2006-12-19,0.0
2006-12-20,-12.5
2006-12-27,-42.8571
2006-12-28,0.0
2007-01-11,0.0
2007-01-12,0.0
2007-01-19,0.0
2007-01-23,50.0
2007-01-29,0.0
2007-02-15,0.0
2007-02-22,0.0
2007-02-23,10.0
2007-02-26,0.0
2007-02-27,-9.0909
2007-03-05,-33.3333
2007-03-06,0.0
2007-03-08,-25.0
2007-03-13,0.0
2007-03-15,166.6667
2007-03-16,50.0
2007-03-19,-33.3333
