ticker,GOLF US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2016-10-28,5.5882
2016-10-31,-3.0084
2016-11-01,0.2872
2016-11-02,0.0
2016-11-03,-0.9164
2016-11-04,2.948
2016-11-07,2.5827999999999998
2016-11-08,-0.1642
2016-11-09,0.6579
2016-11-10,-0.1634
2016-11-11,0.7092
2016-11-14,0.4334
2016-11-15,0.1079
2016-11-16,0.3233
2016-11-17,-0.1611
2016-11-18,1.9365
2016-11-21,0.3694
2016-11-22,5.2576
2016-11-23,1.1489
2016-11-25,-0.0494
2016-11-28,-0.3458
2016-11-29,-1.0412
2016-11-30,0.0
2016-12-01,-0.2004
2016-12-02,-2.6104000000000003
2016-12-05,-0.8247
2016-12-06,-1.2474
2016-12-07,0.3158
2016-12-08,1.6789
2016-12-09,10.6295
2016-12-12,0.3265
2016-12-13,-0.5579
2016-12-14,-5.3296
2016-12-15,-0.1481
2016-12-16,-5.3907
2016-12-19,2.3001
2016-12-20,0.4088
2016-12-21,-1.1705
2016-12-22,0.2575
2016-12-23,0.7191
2016-12-27,-0.9179
2016-12-28,-2.2131
2016-12-29,1.6842000000000001
2016-12-30,2.0186
2017-01-03,-1.0654
2017-01-04,-1.7436
2017-01-05,-1.2526
2017-01-06,0.6871
2017-01-09,3.3596
2017-01-10,-3.3012
2017-01-11,2.8887
2017-01-12,-2.5523
2017-01-13,-1.1524
2017-01-17,-0.265
2017-01-18,2.6567
2017-01-19,0.1035
2017-01-20,-0.1034
2017-01-23,-0.3623
2017-01-24,0.5714
2017-01-25,-0.8264
2017-01-26,-1.6667
2017-01-27,-0.8475
2017-01-30,-1.8162
2017-01-31,0.9249
2017-02-01,-0.2156
2017-02-02,-1.9449
2017-02-03,-1.5977999999999999
2017-02-06,-0.7839
2017-02-07,-0.2257
2017-02-08,-1.1312
2017-02-09,1.8307
2017-02-10,-0.4494
2017-02-13,-0.2257
2017-02-14,0.7353
2017-02-15,1.123
2017-02-16,-2.2765
2017-02-17,0.2273
2017-02-21,-0.1134
2017-02-22,-0.3405
2017-02-23,0.0
2017-02-24,-0.2278
2017-02-27,1.1416
2017-02-28,-1.1851
2017-03-01,1.3135
2017-03-02,-0.3382
2017-03-03,-0.3959
2017-03-06,0.6814
2017-03-07,-0.4512
2017-03-08,1.9263
2017-03-09,0.5003
2017-03-10,-0.1659
2017-03-13,-2.9917
2017-03-14,-0.4569
2017-03-15,2.8112
2017-03-16,2.1205
2017-03-17,-0.4918
2017-03-20,-0.3844
