ticker,FBIO US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2011-11-18,-9.0909
2011-11-22,0.0
2011-11-23,0.0
2011-11-25,-19.9
2011-11-28,24.8439
2011-11-29,-15.0
2011-11-30,11.7647
2011-12-01,0.0
2011-12-02,0.0
2011-12-05,-7.8947
2011-12-06,-8.5714
2011-12-07,-9.375
2011-12-08,-3.4483
2011-12-09,2.8571
2011-12-12,0.0
2011-12-13,-2.7778
2011-12-14,-0.1429
2011-12-15,-7.01
2011-12-16,0.0
2011-12-19,-7.6923
2011-12-20,8.3333
2011-12-21,-2.3077
2011-12-22,-3.7795
2011-12-23,4.2635
2011-12-27,1.2479
2011-12-28,-2.3256
2011-12-29,-4.7619
2011-12-30,8.3333
2012-01-03,-6.1538
2012-01-04,2.0328
2012-01-05,0.8094
2012-01-06,-4.3729
2012-01-09,-4.1667
2012-01-10,-8.6957
2012-01-11,-0.7619
2012-01-12,-4.0307
2012-01-13,2.0
2012-01-17,5.8824
2012-01-18,10.2222
2012-01-19,-5.0739
2012-01-20,18.4071
2012-01-23,-1.7339
2012-01-24,-9.3398
2012-01-25,8.8926
2012-01-26,0.9245
2012-01-27,-0.7634
2012-01-30,-2.0019
2012-01-31,-0.626
2012-02-01,3.6334999999999997
2012-02-02,-3.6585
2012-02-03,-0.7911
2012-02-06,1.5949
2012-02-07,-4.2386
2012-02-08,4.918
2012-02-09,-1.875
2012-02-10,-0.4777
2012-02-13,0.64
2012-02-14,5.7234
2012-02-15,-0.7519
2012-02-16,-1.5152
2012-02-17,3.0769
2012-02-21,1.194
2012-02-22,1.0324
2012-02-23,0.7299
2012-02-24,8.6957
2012-02-27,1.4667
2012-02-28,-0.7884
2012-02-29,0.9272
2012-03-01,1.4436
2012-03-02,3.4929
2012-03-05,-5.0102
2012-03-06,-3.9371
2012-03-07,2.0548
2012-03-08,-0.6711
2012-03-09,1.2162
2012-03-12,-0.267
2012-03-13,0.4016
2012-03-14,3.3333
2012-03-15,5.9355
2012-03-16,9.1352
2012-03-19,0.4464
2012-03-20,-4.2222
2012-03-21,10.4408
2012-03-22,-4.4118
2012-03-23,-0.6593
2012-03-26,-0.4425
2012-03-27,0.0
2012-03-28,-1.1111
2012-03-29,-2.9213
2012-03-30,-2.0833
2012-04-02,0.4728
2012-04-03,-3.6471
2012-04-04,-5.0061
2012-04-05,2.8278
2012-04-09,-1.75
2012-04-10,-5.3435
2012-04-11,2.4194
2012-04-12,-0.6562
2012-04-13,12.1532
2012-04-16,-6.1249
