ticker,ITLL US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2016-02-18,50.0
2016-02-19,250.0
2016-02-23,43.8095
2016-02-24,48.3444
2016-02-25,0.0
2016-02-26,-11.1607
2016-03-03,49.2462
2016-03-04,17.8451
2016-03-07,0.0
2016-03-09,14.0
2016-03-10,0.0
2016-03-14,25.4386
2016-03-29,-40.0599
2016-03-31,-95.0
2016-04-01,1893.3333
2016-04-27,-50.1672
2016-06-07,-83.2215
2016-06-10,20.0
2016-06-13,20.0
2016-06-17,275.0
2016-06-22,257.7778
2016-06-28,-68.9441
2016-07-08,0.0
2016-07-13,16.0
2016-07-18,-13.7931
2016-07-19,0.6667
2016-07-29,2.649
2016-08-02,0.0
2016-08-08,224.5161
2016-08-09,0.0
2016-08-10,257.8529
2016-08-16,-44.4444
2016-08-18,-40.0
2016-08-22,212.5
2016-08-23,-4.0
2016-08-24,-32.5
2016-08-25,0.0
2016-09-01,-1.2346
2016-09-12,-6.25
2016-09-13,-32.0
2016-09-14,-21.5686
2016-09-15,-12.5
2016-09-16,0.0
2016-09-19,14.2857
2016-09-22,0.0
2016-09-30,0.0
2016-10-03,6.75
2016-10-07,5.3864
2016-10-10,0.0
2016-10-24,-11.1111
2016-10-26,0.0
2016-10-27,0.0
2016-11-01,62.5
2016-11-04,-38.4615
2016-11-07,0.0
2016-11-08,0.0
2016-11-21,2.5
2016-12-07,21.9512
2016-12-09,-18.0
2016-12-13,-2.439
2016-12-14,30.0
2016-12-15,-3.8462
2016-12-19,4.0
2016-12-20,5.7692
2016-12-21,9.0909
2016-12-23,0.0
2016-12-27,0.0
2016-12-28,0.0
2016-12-29,0.0
2017-01-05,33.3333
2017-01-06,-7.4766
2017-01-13,35.1009
2017-01-17,8.0
2017-01-18,0.0
2017-02-01,0.0
2017-02-02,0.0
2017-02-03,6.4815
2017-02-06,-46.087
2017-02-07,16.129
2017-02-08,34.7222
2017-02-09,11.8943
2017-02-10,10.5609
2017-02-13,22.5
2017-02-14,-4.7619
2017-02-15,-9.2768
2017-02-16,7.8634
2017-02-17,-15.8896
2017-02-21,-45.6311
2017-02-22,6.9433
2017-02-23,64.1791
2017-02-24,-45.4545
2017-02-28,16.6667
2017-03-06,0.0
2017-03-07,3.2857
2017-03-08,-15.6293
2017-03-09,0.0
2017-03-13,-9.8361
2017-03-15,80.0
2017-03-17,-7.5
2017-03-21,-39.9399
2017-03-22,0.0
2017-03-28,1.8182
2017-03-30,-1.7856999999999998
2017-03-31,-16.3636
