ticker,AHFD US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2011-10-27,0.0
2011-12-09,15900.0
2011-12-12,79.1667
2011-12-13,12.2093
2011-12-14,5.6995000000000005
2011-12-15,0.0
2011-12-16,-56.8627
2011-12-19,47.7273
2011-12-21,4.6154
2011-12-23,-2.9412000000000003
2011-12-27,-9.0909
2011-12-28,-33.3333
2011-12-30,25.0
2012-01-05,-64.0
2012-01-06,44.4444
2012-01-09,-6.9231
2012-01-10,3.3058
2012-01-11,2.4
2012-01-12,-21.875
2012-01-13,-55.0
2012-01-17,-6.6667
2012-01-18,-30.9524
2012-01-19,31.0345
2012-01-20,-7.8947
2012-01-23,4.2857
2012-01-24,-17.8082
2012-01-25,-10.0
2012-01-26,11.1111
2012-01-27,-3.3333
2012-01-30,-3.4483
2012-01-31,-10.7143
2012-02-01,5.25
2012-02-02,6.4133
2012-02-03,39.2857
2012-02-06,-0.3205
2012-02-07,-0.9646
2012-02-08,0.0
2012-02-09,-27.2727
2012-02-13,7.1429
2012-02-14,0.0
2012-02-15,22.9167
2012-02-16,0.339
2012-02-17,0.0
2012-02-21,-13.1757
2012-02-23,15.1751
2012-02-24,-5.4054
2012-02-27,-8.5714
2012-02-28,-6.25
2012-02-29,0.0
2012-03-01,0.0
2012-03-02,0.0
2012-03-05,0.0
2012-03-07,0.0
2012-03-08,16.6667
2012-03-13,-2.8571
2012-03-15,32.3529
2012-03-16,11.1111
2012-03-19,19.625
2012-03-20,-40.8568
2012-03-21,55.477
2012-03-22,-45.4545
2012-03-23,0.0
2012-03-26,31.25
2012-03-27,-13.6508
2012-03-28,-10.6618
2012-03-29,2.0576
2012-03-30,0.0
2012-04-02,3.2258
2012-04-03,6.25
2012-04-04,17.647100000000002
2012-04-05,-25.0
2012-04-09,0.4167
2012-04-12,-0.4149
2012-04-19,-16.6667
2012-04-20,36.0
2012-04-25,-26.1029
2012-05-01,34.8259
2012-05-02,-1.107
2012-05-03,-46.2687
2012-05-04,-38.8889
2012-05-07,78.9773
2012-05-08,-36.5079
2012-05-09,-28.0
2012-05-10,0.0
2012-05-11,0.0
2012-05-14,-42.3611
2012-05-15,140.9639
2012-05-16,4.0
2012-05-17,-23.0769
2012-05-18,-26.25
2012-05-21,1.6949
2012-05-22,-6.6667
2012-05-23,18.75
2012-05-24,-12.0301
2012-05-25,21.3675
2012-05-29,-21.1268
2012-05-30,12.5
2012-05-31,-11.1111
2012-06-01,0.0
2012-06-04,11.607099999999999
2012-06-05,0.8
