ticker,FRSI US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2016-02-12,1135.0
2016-02-16,13.3603
2016-02-18,5.7143
2016-02-19,2.027
2016-02-24,5.9603
2016-02-29,-5.625
2016-03-02,12.5828
2016-03-03,5.8824
2016-03-08,5.5556
2016-03-09,0.0
2016-03-10,0.0
2016-03-16,2.6316
2016-03-31,-17.9487
2016-04-12,25.0
2016-06-24,0.0
2016-06-30,-18.0
2016-07-22,21.9512
2016-07-25,0.0
2016-09-01,-20.0
2016-09-20,0.0
2017-06-21,-28.125
2017-07-18,21.7391
2017-08-09,0.7143
2017-09-13,-46.8085
2017-09-19,85.3333
2018-01-08,-25.1799
2018-01-09,0.0
2018-05-09,-27.8846
2018-06-11,0.0
2018-12-14,-13.3333
2018-12-19,-21.5385
2019-06-14,-75.4902
2019-06-17,0.0
2019-08-09,-20.0
2019-08-22,-39.9
2019-10-15,-16.8053
2019-10-22,0.0
2019-10-25,0.0
2019-10-29,59.8
2020-04-03,-12.3905
