ticker,SESN US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2014-02-06,8.5
2014-02-07,2.765
2014-02-10,0.1794
2014-02-11,2.3277
2014-02-12,-0.175
2014-02-13,0.7888
2014-02-14,-1.6522000000000001
2014-02-18,1.6799
2014-02-19,8.0
2014-02-20,2.657
2014-02-21,12.4706
2014-02-24,7.7406
2014-02-25,7.9612
2014-02-26,3.4772
2014-02-27,0.6373
2014-02-28,-6.7358
2014-03-03,-4.6296
2014-03-04,2.0065
2014-03-05,7.4239
2014-03-06,-6.8517
2014-03-07,-3.234
2014-03-10,4.1284
2014-03-11,0.4405
2014-03-12,1.1278
2014-03-13,4.6468
2014-03-14,0.9473
2014-03-17,-8.1525
2014-03-18,6.5773
2014-03-19,-2.0371
2014-03-20,2.263
2014-03-21,0.6579
2014-03-24,-1.3072
2014-03-25,-2.5888
2014-03-26,2.5958
2014-03-27,-1.0241
2014-03-28,-3.2258
2014-03-31,2.0755
2014-04-01,5.8534
2014-04-02,-1.397
2014-04-03,-7.5561
2014-04-04,-6.258
2014-04-07,-3.951
2014-04-08,3.1915
2014-04-09,7.354
2014-04-10,-5.1857
2014-04-11,-1.8231000000000002
2014-04-14,-0.1376
2014-04-15,-6.6116
2014-04-16,0.7375
2014-04-17,-2.489
2014-04-21,0.1502
2014-04-22,1.7991000000000001
2014-04-23,2.3564
2014-04-24,0.6475
2014-04-25,-4.7891
2014-04-28,0.7508
2014-04-29,2.459
2014-04-30,-1.8909
2014-05-01,0.3706
2014-05-02,-6.13
2014-05-05,-4.5633
2014-05-06,-4.6167
2014-05-07,0.2593
2014-05-08,-2.5862
2014-05-09,-0.0885
2014-05-12,-5.1373
2014-05-13,3.3613
2014-05-14,-3.7037
2014-05-15,-0.7505
2014-05-16,1.8904
2014-05-19,-1.4842
2014-05-20,2.0716
2014-05-21,-3.321
2014-05-22,1.2405
2014-05-23,4.8068
2014-05-27,0.1799
2014-05-28,-4.3986
2014-05-29,2.8169
2014-05-30,-1.3699
2014-06-02,1.4815
2014-06-03,-4.0146
2014-06-04,-1.2357
2014-06-05,0.8662
2014-06-06,2.2901
2014-06-09,11.7537
2014-06-10,2.5042
2014-06-11,-3.1759
2014-06-12,-1.3457
2014-06-13,-7.8431
2014-06-16,4.1628
2014-06-17,-0.9769
2014-06-18,1.7936999999999999
2014-06-19,8.7225
2014-06-20,-2.4311
2014-06-23,-7.309
2014-06-24,2.5986000000000002
2014-06-25,2.0087
2014-06-26,4.1096
2014-06-27,5.5921
