ticker,NWYU US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2008-07-09,0.0
2008-09-11,-59.0164
2011-11-04,900.0
2011-11-08,100.0
2012-01-09,150.0
2012-01-10,30.0
2012-01-11,46.1538
2012-01-12,0.0
2012-01-17,0.0
2012-01-19,15.7895
2012-01-25,0.0
2012-01-26,4.5455
2012-01-27,4.3478
2012-01-30,-4.1667
2012-01-31,8.6957
2012-02-07,-4.0
2012-02-09,0.0
2012-02-14,-8.3333
2012-02-23,9.0909
2012-02-24,4.1667
2012-02-27,0.0
2012-02-28,0.0
2012-02-29,4.0
2012-03-01,0.0
2012-03-02,-3.0769
2012-03-06,-0.7937
2012-03-07,0.0
2012-03-09,0.0
2012-03-12,-4.0
2012-03-13,4.1667
2012-03-14,0.0
2012-03-15,4.0
2012-03-16,0.0
2012-03-19,3.0769
2012-03-20,-2.9851
2012-03-21,12.3077
2012-03-22,0.6849
2012-03-23,1.0204
2012-03-26,-15.8249
2012-03-27,11.2
2012-03-28,0.7194
2012-03-29,-1.4285999999999999
2012-03-30,-6.5217
2012-04-02,16.2791
2012-04-03,0.0
2012-04-04,-16.6667
2012-04-09,4.0
2012-04-10,0.0
2012-04-11,15.3846
2012-04-12,-0.6667
2012-04-16,0.0
2012-04-17,-19.4631
2012-04-19,0.0
2012-04-23,-8.3333
2012-04-24,-8.1818
2012-04-25,0.0
2012-04-26,0.0
2012-04-27,23.7624
2012-04-30,0.0
2012-05-01,-8.8
2012-05-02,6.1404
2012-05-03,3.3058
2012-05-09,7.2
2012-05-10,4.4776
2012-05-14,-14.2857
2012-05-15,8.3333
2012-05-16,-3.8462
2012-05-23,5.6
2012-05-24,-5.303
2012-05-25,5.6
2012-05-29,2.2727
2012-05-30,0.0
2012-05-31,7.4074
2012-06-01,0.0
2012-06-04,-6.8966
2012-06-05,7.4074
2012-06-06,0.0
2012-06-07,0.0
2012-06-08,-22.7586
2012-06-11,0.0
2012-06-12,16.0714
2012-06-13,-11.538499999999999
2012-06-14,0.0
2012-06-15,0.8696
2012-06-18,12.069
2012-06-19,3.8462
2012-06-20,7.4074
2012-06-21,3.4483
2012-06-22,2.6
2012-06-25,1.3645
2012-06-26,-1.2821
2012-06-27,0.6494
2012-06-28,-16.129
2012-06-29,10.0
2012-07-02,8.3916
2012-07-03,-0.3226
2012-07-05,-6.1489
2012-07-06,2.7586
2012-07-09,-2.0134
2012-07-10,17.8082
2012-07-11,-7.5581
2012-07-12,2.5157
2012-07-13,-7.9755
