ticker,PNPL US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-12,-6.25
2000-01-14,-33.3333
2000-01-21,80.0
2000-01-25,15.5556
2000-01-27,-3.8462
2000-01-28,50.0
2000-01-31,25.0
2000-02-01,-9.3333
2000-02-02,18.8235
2000-02-04,-0.9901
2000-02-07,5.0
2000-02-09,7.1429
2000-02-10,-22.2222
2000-02-14,42.8571
2000-02-15,0.0
2000-02-16,0.0
2000-02-17,0.0
2000-02-18,0.0
2000-02-24,-10.0
2000-02-29,0.0
2000-03-01,6.6667
2000-03-02,23.3333
2000-03-03,1.3514
2000-03-06,0.0
2000-03-07,-3.3333
2000-03-08,-24.1379
2000-03-09,36.3636
2000-03-10,0.0
2000-03-13,13.3333
2000-03-14,-11.7647
2000-03-16,8.3333
2000-03-17,4.6154
2000-03-20,-4.4118
2000-03-21,-19.2308
2000-03-22,-4.7619
2000-03-23,10.0
2000-03-24,13.6364
2000-03-27,-4.0
2000-03-29,-32.6667
2000-03-31,48.5149
2000-04-03,-32.6667
2000-04-07,-25.7426
2000-04-11,0.0
2000-04-12,0.0
2000-04-25,-40.0
2000-04-26,38.8889
2000-04-27,0.0
2000-05-01,-23.2
2000-05-02,-6.25
2000-05-04,-22.2222
2000-05-05,28.5714
2000-05-08,0.0
2000-05-09,0.0
2000-05-10,-4.4444
2000-05-12,2.3256
2000-05-15,13.6364
2000-05-16,125.0
2000-05-17,-15.5556
2000-05-18,-31.5789
2000-05-24,-15.3846
2000-05-25,-21.8182
2000-05-26,-30.2326
2000-05-30,43.3333
2000-06-13,2.3256
2000-06-15,-9.0909
2000-06-19,-37.5
2000-06-20,60.0
2000-06-22,0.0
2000-06-27,-37.5
2000-06-28,0.0
2000-06-30,0.0
2000-07-05,-4.0
2000-07-07,-16.6667
2000-07-10,25.0
2000-07-17,0.0
2000-07-26,12.0
2000-08-09,-25.0
2000-08-11,-23.8095
2000-08-14,0.0
2000-09-15,18.75
2000-09-26,-15.7895
2000-09-27,25.0
2000-09-28,-10.0
2000-10-17,-16.6667
2000-10-24,0.0
2000-11-13,0.0
2000-11-20,0.0
2000-12-07,0.0
2000-12-15,-33.3333
2000-12-18,-20.0
2000-12-20,50.0
2000-12-27,-50.0
2000-12-29,150.0
2001-01-04,33.3333
2001-01-10,0.0
2001-01-29,35.0
2001-01-30,-62.963
2001-03-06,-30.0
2001-04-10,242.8571
2001-04-17,0.0
2001-04-20,4.1667
2001-05-04,-48.0
2001-05-09,15.3846
2001-05-10,66.6667
