ticker,LIN US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-0.9938
2000-01-04,-1.7566000000000002
2000-01-05,1.788
2000-01-06,7.4028
2000-01-07,0.1168
2000-01-10,0.1167
2000-01-11,1.6317
2000-01-12,-1.7202
2000-01-13,-1.4002
2000-01-14,1.1834
2000-01-18,-4.3275
2000-01-19,-3.7897
2000-01-20,-3.6849
2000-01-21,-1.0554
2000-01-24,4.0
2000-01-25,-9.8718
2000-01-26,-2.276
2000-01-27,1.8923
2000-01-28,-6.7143
2000-01-31,-0.1531
2000-02-01,0.6135
2000-02-02,-4.878
2000-02-03,3.8462
2000-02-04,2.1605
2000-02-07,1.5106000000000002
2000-02-08,-3.125
2000-02-09,-3.2258
2000-02-10,-2.3810000000000002
2000-02-11,-2.1138
2000-02-14,3.1561
2000-02-15,3.7037
2000-02-16,2.0186
2000-02-17,-0.4566
2000-02-18,-3.0581
2000-02-22,-0.3155
2000-02-23,-2.8481
2000-02-24,-6.3518
2000-02-25,-1.2174
2000-02-28,-0.5282
2000-02-29,-4.4248
2000-03-01,-1.2963
2000-03-02,-1.8761999999999999
2000-03-03,4.8719
2000-03-06,-0.7326
2000-03-07,-5.3506
2000-03-08,0.1949
2000-03-09,-0.9728
2000-03-10,5.3045
2000-03-13,-0.3731
2000-03-14,0.7491
2000-03-15,10.7807
2000-03-16,7.5503
2000-03-17,-7.6443
2000-03-20,2.7027
2000-03-21,2.4671
2000-03-22,-3.3708
2000-03-23,0.3322
2000-03-24,2.8146
2000-03-27,-1.6103
2000-03-28,1.4729999999999999
2000-03-29,2.7419000000000002
2000-03-30,4.0816
2000-03-31,0.4525
2000-04-03,0.1502
2000-04-04,0.4498
2000-04-05,-2.0896
2000-04-06,2.2866
2000-04-07,-1.3413
2000-04-10,0.3021
2000-04-11,7.3795
2000-04-12,-0.561
2000-04-13,-3.2439999999999998
2000-04-14,-6.9971
2000-04-17,0.1567
2000-04-18,-4.6948
2000-04-19,1.1494
2000-04-20,9.2532
2000-04-24,0.2972
2000-04-25,1.3333
2000-04-26,1.7544
2000-04-27,0.2874
2000-04-28,1.8625
2000-05-01,1.2658
2000-05-02,3.8889
2000-05-03,-1.8717000000000001
2000-05-04,-0.8174
2000-05-05,1.3736
2000-05-08,-0.9485
2000-05-09,-0.9576
2000-05-10,-2.3481
2000-05-11,2.6874000000000002
2000-05-12,-0.9642
2000-05-15,2.3644
2000-05-16,-1.087
2000-05-17,-1.0989
2000-05-18,1.1111
