ticker,FIDS US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-02-17,0.0
2000-04-06,-4.2553
2000-04-07,8.8889
2000-09-12,-3.0612
2001-01-22,-2.1053
2001-03-06,5.3763
2001-03-15,-3.0612
2001-03-28,3.1579
2001-04-20,-7.6531
2001-04-24,2.7624
2001-06-01,1.0753
2001-06-04,0.0
2001-07-24,2.1277
2001-08-08,-12.5
2001-08-10,-4.7619
2001-08-13,0.0
2001-08-20,5.0
2001-09-07,-4.7619
2001-09-10,5.0
2001-09-19,0.0
2001-10-12,-9.5238
2001-10-15,4.2895
2001-10-26,0.9336
2001-11-15,0.0
2001-11-23,-5.0
2001-12-27,6.5789
2002-01-18,0.0
2002-02-05,-1.2346
2002-03-07,-1.25
2002-03-18,5.6962
2002-05-13,-1.1976
2002-05-22,-4.2424
2002-05-28,0.0
2002-05-29,4.4304
2002-06-17,1.2121
2002-07-24,-5.1497
2002-07-26,1.0101
2002-08-02,5.0
2002-08-23,-5.5476
2002-09-03,0.8319
2002-09-06,5.0
2002-11-04,-5.2381
2002-11-22,3.0151
2002-12-03,2.439
2002-12-10,-5.2381
2002-12-11,5.5276
2002-12-16,0.0
2002-12-17,-4.7619
2002-12-19,0.0
2002-12-23,5.0
2003-01-16,-5.2381
2003-01-22,0.5025
2003-01-23,0.0
2003-03-12,-0.5
2003-03-14,-2.0101
2003-03-18,-1.9231
2003-03-25,-3.268
2003-04-03,-1.6216
2003-04-14,2.3352
2003-04-15,2.604
2003-04-24,-11.0413
2003-05-08,-8.8235
2003-05-12,-3.2258
2003-05-13,3.3333
2003-05-20,3.2258
2003-05-21,0.0
2003-06-09,-3.125
2003-07-15,25.8065
2003-08-04,-17.9487
2003-08-28,1.5625
2003-09-19,-1.5385
2003-09-22,0.0
2003-09-26,4.6875
2003-09-29,0.0
2003-10-06,0.0
2003-10-22,0.0
2003-11-21,0.0
2003-12-18,-5.2239
2003-12-26,-0.315
2003-12-29,2.6856
2004-01-22,-2.4
2004-02-03,1.6709
2004-02-12,-1.5504
2004-02-18,4.5354
2004-03-15,-4.7905999999999995
2004-03-19,2.8481
2004-03-31,0.0
2004-05-12,-2.7692
2004-05-13,-1.8987
2004-05-14,-1.6129
2004-05-19,6.5574
2004-05-20,-1.5385
2004-06-17,-5.4688
2004-06-22,0.0
2004-07-09,-0.8264
2004-07-12,-1.5
2004-07-16,1.5228000000000002
2004-07-21,-3.1667
2004-07-23,-0.1721
2004-08-18,6.8966
2004-10-27,-6.129
