ticker,HXPN US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-02-15,12400.0
2000-05-30,-92.0
2000-06-01,212.5
2000-06-02,-52.0
2000-06-05,100.0
2000-06-06,400.0
2000-06-07,-86.6667
2000-08-24,0.0
2000-10-02,-50.0
2000-10-04,0.0
2000-10-06,0.0
2000-12-15,100.0
2001-01-05,0.0
2001-01-08,0.0
2001-02-05,-50.0
2001-02-06,0.0
2001-02-26,-80.0
2001-02-27,1462.5
2001-03-01,28.0
2001-03-12,-25.0
2001-05-02,-90.0
2001-05-22,0.0
2001-09-10,0.0
2001-10-03,0.0
2002-01-25,-95.8333
2002-09-05,0.0
2002-10-14,0.0
2002-11-13,15900.0
2002-11-21,-99.375
2002-12-04,0.0
2003-01-16,0.0
2003-03-07,0.0
2003-05-05,0.0
2003-05-09,0.0
2003-05-21,0.0
2003-09-30,700.0
2003-11-21,900.0
2003-11-25,-50.0
2003-11-26,-80.0
2003-11-28,-31.25
2004-01-28,627.2727
2004-01-29,-20.0
2004-02-03,0.0
2004-02-04,0.0
2004-02-09,-25.0
2004-02-17,66.6667
2004-02-18,80.0
2004-02-19,0.0
2004-02-27,0.0
2004-03-11,-72.2222
2004-03-15,0.0
2004-06-07,0.0
2004-11-19,0.0
2004-12-21,0.0
2005-02-17,-20.0
2005-02-25,-25.0
2005-03-02,-33.3333
2005-03-23,100.0
2005-05-11,50.0
2005-05-24,-16.6667
2005-06-01,20.0
2005-06-06,-50.0
2005-07-15,0.0
2005-08-01,233.3333
2005-08-02,100.0
2005-08-10,0.0
2005-08-11,0.0
2005-09-23,-50.0
2006-01-13,-76.25
2006-06-30,342.1053
2006-07-03,-4.7619
2006-07-07,-45.0
2006-07-13,-36.3636
2006-07-14,-42.8571
2006-07-17,0.0
2006-07-18,75.0
2006-07-19,-42.8571
2006-08-08,-50.0
2006-08-16,250.0
2006-08-17,114.2857
2006-08-31,-32.0
2006-09-08,0.0
2006-11-06,0.0
2006-11-27,17.647100000000002
2006-12-21,-40.0
2006-12-27,-30.5556
2006-12-29,20.0
2007-01-03,236.6667
2007-01-04,23.7624
2007-01-05,20.0
2007-01-08,6.6667
2007-01-09,0.0
2007-01-10,-3.125
2007-01-12,4.5161
2007-01-16,0.0
2007-01-17,0.6173
2007-01-18,-3.0675
2007-01-19,3.1646
2007-01-22,0.0
2007-01-23,0.0
2007-01-24,-17.1779
2007-01-25,14.8148
2007-01-26,-3.2258
2007-01-29,0.0
2007-01-30,1.3333
2007-01-31,0.6579
