ticker,ALNY US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2004-05-28,0.1667
2004-06-01,16.4725
2004-06-02,3.0
2004-06-03,3.4674
2004-06-04,2.9491
2004-06-07,1.1719
2004-06-08,3.7323
2004-06-09,2.4814
2004-06-10,-4.3584
2004-06-14,-1.7722
2004-06-15,-6.9588
2004-06-16,-8.3102
2004-06-17,-7.5529
2004-06-18,1.7974
2004-06-21,-5.297
2004-06-22,0.1695
2004-06-23,1.5228000000000002
2004-06-24,9.1667
2004-06-25,12.2137
2004-06-28,-1.9048
2004-06-29,-1.5257
2004-06-30,6.4789
2004-07-01,-7.2751
2004-07-02,-0.1427
2004-07-06,2.4286
2004-07-07,-0.5579
2004-07-08,-2.805
2004-07-09,0.7215
2004-07-12,3.7249
2004-07-13,-3.3287
2004-07-14,-4.8149999999999995
2004-07-15,4.7733
2004-07-16,0.2865
2004-07-19,-7.1429
2004-07-20,-5.2308
2004-07-21,-1.7856999999999998
2004-07-22,-3.3058
2004-07-23,-1.0256
2004-07-26,-1.5544
2004-07-27,-8.7719
2004-07-28,0.9615
2004-07-29,0.9524
2004-07-30,-2.8302
2004-08-02,7.767
2004-08-03,-3.6395999999999997
2004-08-04,-1.8325
2004-08-05,-0.381
2004-08-06,-6.3098
2004-08-09,1.0204
2004-08-10,1.3939
2004-08-11,-11.3369
2004-08-12,-3.3708
2004-08-13,-6.9767
2004-08-16,-1.25
2004-08-17,1.2658
2004-08-18,2.25
2004-08-19,13.6919
2004-08-20,-4.5161
2004-08-23,-1.3514
2004-08-24,7.0776
2004-08-25,11.9403
2004-08-26,4.5714
2004-08-27,2.1858
2004-08-30,-4.9911
2004-08-31,3.1895
2004-09-01,0.0
2004-09-02,4.0
2004-09-03,-1.049
2004-09-07,3.3569
2004-09-08,0.8547
2004-09-09,-6.6102
2004-09-10,-1.9964
2004-09-13,7.7778
2004-09-14,-2.0619
2004-09-15,0.7018
2004-09-16,-1.3937
2004-09-17,-4.5936
2004-09-20,3.5185
2004-09-21,1.0733
2004-09-22,2.1062
2004-09-23,-6.2229
2004-09-24,-0.1848
2004-09-27,3.5185
2004-09-28,1.0733
2004-09-29,0.354
2004-09-30,1.5697
2004-10-01,-2.5873
2004-10-04,1.426
2004-10-05,1.0545
2004-10-06,0.8696
2004-10-07,-1.7241
2004-10-08,0.1754
2004-10-11,3.1524
2004-10-12,-2.2071
2004-10-13,-3.6458
2004-10-14,-3.4234
2004-10-15,-1.1194
2004-10-18,3.0189
2004-10-19,0.7326
