ticker,CAR US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-8.4706
2000-01-04,-4.3702
2000-01-05,-1.6129
2000-01-06,1.3660999999999999
2000-01-07,3.2345
2000-01-10,-8.094
2000-01-11,-3.125
2000-01-12,7.9179
2000-01-13,0.0
2000-01-14,1.3587
2000-01-18,-3.4853
2000-01-19,0.5556
2000-01-20,-4.4199
2000-01-21,-4.0462
2000-01-24,-3.012
2000-01-25,4.0373
2000-01-26,-0.597
2000-01-27,0.9009
2000-01-28,-5.3571
2000-01-31,0.3145
2000-02-01,9.0909
2000-02-02,2.8736
2000-02-03,-5.8659
2000-02-04,1.1869
2000-02-07,0.2933
2000-02-08,-1.7544
2000-02-09,-4.7619
2000-02-10,-6.5625
2000-02-11,-3.3445
2000-02-14,-0.692
2000-02-15,0.3484
2000-02-16,-4.1667
2000-02-17,7.2464
2000-02-18,-7.0946
2000-02-22,1.8182
2000-02-23,-3.2143
2000-02-24,1.107
2000-02-25,-0.7299
2000-02-28,-1.4706000000000001
2000-02-29,6.3433
2000-03-01,-2.4561
2000-03-02,-1.4388
2000-03-03,2.5547
2000-03-06,-1.7793999999999999
2000-03-07,-6.1594
2000-03-08,1.1583
2000-03-09,6.8702
2000-03-10,3.5714
2000-03-13,-3.1034
2000-03-14,0.3559
2000-03-15,-2.4823
2000-03-16,0.3636
2000-03-17,-1.8115999999999999
2000-03-20,2.214
2000-03-21,3.9711
2000-03-22,-2.0833
2000-03-23,0.0
2000-03-24,0.3546
2000-03-27,4.5936
2000-03-28,2.3649
2000-03-29,-2.3102
2000-03-30,-3.3784
2000-03-31,4.5455
2000-04-03,0.3344
2000-04-04,-8.0
2000-04-05,3.6231999999999998
2000-04-06,0.6993
2000-04-07,-1.0417
2000-04-10,3.8596
2000-04-11,-4.0541
2000-04-12,-0.7042
2000-04-13,-3.5461
2000-04-14,-6.6176
2000-04-17,-0.3937
2000-04-18,7.5099
2000-04-19,-10.6618
2000-04-20,0.4115
2000-04-24,-1.6393
2000-04-25,5.0
2000-04-26,-2.7778
2000-04-27,-1.2245
2000-04-28,2.0661
2000-05-01,0.0
2000-05-02,-2.834
2000-05-03,-3.0208
2000-05-04,0.5371
2000-05-05,0.0
2000-05-08,0.0
2000-05-09,-2.1368
2000-05-10,-2.6201
2000-05-11,0.0
2000-05-12,1.7936999999999999
2000-05-15,1.3216
2000-05-16,3.0435
2000-05-17,2.5316
2000-05-18,-0.4115
2000-05-19,0.0
2000-05-22,-5.7851
