ticker,FORR US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-4.5372
2000-01-04,-3.2319
2000-01-05,-1.5716999999999999
2000-01-06,-4.1916
2000-01-07,3.3333
2000-01-10,-1.0081
2000-01-11,-2.0367
2000-01-12,-4.9896
2000-01-13,-0.7659
2000-01-14,-0.7718
2000-01-18,-4.8889
2000-01-19,-2.8037
2000-01-20,-10.5769
2000-01-21,5.6452
2000-01-24,17.0483
2000-01-25,-0.8696
2000-01-26,7.6754
2000-01-27,3.2587
2000-01-28,-2.1696
2000-01-31,-6.4516
2000-02-01,0.0
2000-02-02,4.3103
2000-02-03,9.5041
2000-02-04,6.7925
2000-02-07,3.5336
2000-02-08,1.7065000000000001
2000-02-09,-4.3624
2000-02-10,4.2105
2000-02-11,10.4377
2000-02-14,17.0732
2000-02-15,0.5208
2000-02-16,3.6269
2000-02-17,-1.25
2000-02-18,-6.5823
2000-02-22,-14.3631
2000-02-23,6.962
2000-02-24,12.7219
2000-02-25,-0.2625
2000-02-28,2.6316
2000-02-29,-17.9487
2000-03-01,11.875
2000-03-02,3.0726
2000-03-03,7.3171
2000-03-06,0.7576
2000-03-07,0.0
2000-03-08,6.2657
2000-03-09,6.6038
2000-03-10,-6.6372
2000-03-13,2.8436
2000-03-14,-6.2212
2000-03-15,24.0786
2000-03-16,-8.1188
2000-03-17,5.1724
2000-03-20,-4.0984
2000-03-21,-19.6581
2000-03-22,1.8617
2000-03-23,-1.8277
2000-03-24,4.7872
2000-03-27,-0.1269
2000-03-28,3.6849
2000-03-29,2.451
2000-03-30,-2.3923
2000-03-31,6.3725
2000-04-03,-4.0323
2000-04-04,-4.2017
2000-04-05,-1.7856999999999998
2000-04-06,-6.8581
2000-04-07,-2.4657999999999998
2000-04-10,1.1236
2000-04-11,-3.0556
2000-04-12,-10.0287
2000-04-13,-7.3248
2000-04-14,-14.0893
2000-04-17,6.4
2000-04-18,27.4436
2000-04-19,3.9823
2000-04-20,-7.234
2000-04-24,-5.1988
2000-04-25,10.645199999999999
2000-04-26,-1.7492999999999999
2000-04-27,8.457
2000-04-28,-0.8208
2000-05-01,0.5517
2000-05-02,7.5446
2000-05-03,1.5306
2000-05-04,20.603
2000-05-05,-8.75
2000-05-08,6.3927
2000-05-09,-6.4378
2000-05-10,0.9174
2000-05-11,8.8636
2000-05-12,-8.0376
2000-05-15,12.5993
2000-05-16,-1.4113
2000-05-17,-3.0675
2000-05-18,-6.0127
2000-05-19,-0.3367
2000-05-22,-11.9369
