ticker,QLGN US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2015-06-24,-0.8
2015-06-25,-3.629
2015-06-26,-1.8828
2015-06-29,-5.9701
2015-06-30,0.907
2015-07-01,2.9213
2015-07-02,-1.7467000000000001
2015-07-06,-1.7778
2015-07-07,1.3575
2015-07-08,-3.125
2015-07-09,0.0
2015-07-10,-1.1521
2015-07-13,-4.4289
2015-07-14,-2.439
2015-07-15,-1.5
2015-07-16,-6.3452
2015-07-17,4.336
2015-07-20,-8.3117
2015-07-21,-3.966
2015-07-22,4.7198
2015-07-23,24.2254
2015-07-24,-5.6718
2015-07-27,-5.0452
2015-07-28,-2.5316
2015-07-29,3.8961
2015-07-30,-7.75
2015-07-31,-0.542
2015-08-03,4.9046
2015-08-04,0.5195
2015-08-05,-7.2351
2015-08-06,-5.2925
2015-08-07,1.3235000000000001
2015-08-10,3.6284
2015-08-11,-0.2801
2015-08-12,-9.2697
2015-08-13,-4.9536
2015-08-14,3.5831
2015-08-17,10.3774
2015-08-18,-6.2678
2015-08-19,-10.3343
2015-08-20,-1.3559
2015-08-21,-7.2165
2015-08-24,2.5926
2015-08-25,4.6931
2015-08-26,6.2069
2015-08-27,-7.1429
2015-08-28,12.937100000000001
2015-08-31,1.8576000000000001
2015-09-01,-5.1672
2015-09-02,3.5256
2015-09-03,4.3344
2015-09-04,-2.0772
2015-09-08,-2.1212
2015-09-09,2.1672
2015-09-10,1.2121
2015-09-11,1.1976
2015-09-14,-0.5917
2015-09-15,-5.0595
2015-09-16,3.4483
2015-09-17,-4.5455
2015-09-18,-20.634900000000002
2015-09-21,19.4
2015-09-22,0.5025
2015-09-23,-1.3333
2015-09-24,-2.027
2015-09-25,-7.5862
2015-09-28,-6.7164
2015-09-29,-16.8
2015-09-30,-1.4423
2015-10-01,7.3171
2015-10-02,9.0909
2015-10-05,2.0833
2015-10-06,-0.8163
2015-10-07,-1.6461000000000001
2015-10-08,1.2551999999999999
2015-10-09,1.3843
2015-10-12,0.6725
2015-10-13,-8.9069
2015-10-14,0.8889
2015-10-15,7.0485
2015-10-16,6.5844000000000005
2015-10-19,-5.4054
2015-10-20,-6.5306
2015-10-21,6.1135
2015-10-22,-2.3457
2015-10-23,5.7575
2015-10-26,-2.2015000000000002
2015-10-27,-7.1047
2015-10-28,5.2632
2015-10-29,-2.5
2015-10-30,0.8547
2015-11-02,-2.5423999999999998
2015-11-03,-0.8696
2015-11-04,-5.7018
2015-11-05,4.2791
2015-11-06,2.5869999999999997
