ticker,BLPG US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2014-04-01,150.0
2014-04-25,-36.0
2014-05-16,-6.25
2014-05-19,-66.0
2014-05-20,64.7059
2014-05-21,0.0
2014-05-22,-1.6667
2014-05-23,6.7797
2014-05-27,3.1746
2014-05-28,-3.0769
2014-05-29,-28.5714
2014-05-30,33.3333
2014-06-02,-8.3333
2014-06-03,9.0909
2014-06-04,-8.3333
2014-06-05,0.0227
2014-06-06,14.5194
2014-06-09,11.1111
2014-06-10,-1.4285999999999999
2014-06-11,-3.1884
2014-06-12,3.2934
2014-06-13,-1.4493
2014-06-16,7.3529
2014-06-17,-2.7397
2014-06-18,-1.4085
2014-06-19,-1.4285999999999999
2014-06-20,1.4493
2014-06-23,0.0
2014-06-24,3.5714
2014-06-25,3.4483
2014-06-26,2.6667
2014-06-27,-2.5974
2014-06-30,5.3333
2014-07-01,1.2658
2014-07-02,-6.25
2014-07-03,4.0
2014-07-07,-4.4872
2014-07-08,-6.0403
2014-07-09,-7.1429
2014-07-10,-6.1538
2014-07-11,-9.8361
2014-07-14,9.0909
2014-07-15,0.0
2014-07-16,0.0
2014-07-17,-23.3333
2014-07-18,-1.9565000000000001
2014-07-21,13.082
2014-07-22,0.0
2014-07-23,-15.7108
2014-07-24,16.0803
2014-07-25,-9.8196
2014-07-28,-11.0
2014-07-29,-0.1248
2014-07-30,10.5938
2014-07-31,1.7237
2014-08-01,-13.3333
2014-08-04,2.5641
2014-08-05,-6.2813
2014-08-06,14.6716
2014-08-07,-13.9285
2014-08-08,8.1081
2014-08-11,2.5
2014-08-12,4.878
2014-08-13,-2.3256
2014-08-14,9.5238
2014-08-15,4.3478
2014-08-18,2.0833
2014-08-19,-12.2194
2014-08-20,2.2958
2014-08-21,-4.0057
2014-08-22,-2.5747
2014-08-25,-2.7946999999999997
2014-08-26,7.2188
2014-08-27,0.0
2014-08-28,2.594
2014-09-02,0.7244
2014-09-03,-0.7192
2014-09-04,11.3636
2014-09-05,-1.0204
2014-09-08,-19.5876
2014-09-09,28.2051
2014-09-10,-4.0
2014-09-11,0.0
2014-09-12,0.0
2014-09-15,2.0833
2014-09-16,-13.2653
2014-09-17,5.8824
2014-09-18,-0.0278
2014-09-19,-11.0586
2014-09-22,4.9672
2014-09-23,4.7619
2014-09-24,-8.9489
2014-09-26,9.8284
2014-09-29,-2.2727
2014-09-30,7.0203
2014-10-01,-3.3003
2014-10-02,0.8989
2014-10-06,0.0
2014-10-07,-21.7984
