ticker,AXCG US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-3.4091
2000-01-04,-17.647100000000002
2000-01-05,-21.4286
2000-01-06,-9.0909
2000-01-07,0.0
2000-01-10,0.0
2000-01-11,-20.0
2000-01-12,-25.0
2000-01-13,-33.3333
2000-01-14,50.0
2000-01-18,22.6667
2000-01-19,13.0435
2000-01-20,0.0
2000-01-21,0.0
2000-01-24,8.1731
2000-01-25,-11.1111
2000-01-26,-16.0
2000-01-27,19.0476
2000-01-28,0.0
2000-01-31,4.0
2000-02-02,-3.8462
2000-02-03,4.0
2000-02-04,-3.8462
2000-02-07,0.0
2000-02-08,0.0
2000-02-09,-8.0
2000-02-14,8.6957
2000-02-15,0.0
2000-02-23,0.0
2000-02-24,0.0
2000-02-25,0.0
2000-02-28,-25.0
2000-02-29,6.6667
2000-03-02,0.0
2000-03-08,-6.25
2000-03-10,33.3333
2000-03-13,40.0
2000-03-16,-37.5
2000-03-21,14.2857
2000-03-22,-12.5
2000-03-23,0.0
2000-03-27,57.1429
2000-04-07,-12.7273
2000-04-10,-16.6667
2000-04-26,-40.0
2000-05-05,33.3333
2000-05-17,0.0
2000-05-24,0.0
2000-06-02,-37.5
2000-06-13,60.0
2000-06-29,-37.5
2000-09-27,-20.0
2000-09-29,-37.5
2000-10-24,-68.0
2000-10-25,0.0
2000-10-26,100.0
2000-10-27,-12.5
2000-12-05,-57.1429
2000-12-08,100.0
2000-12-20,50.0
2000-12-22,-22.2222
2000-12-29,0.0
2001-02-02,85.7143
2001-02-05,0.0
2001-03-09,15.3846
2001-03-15,-53.3333
2001-03-26,0.0
2001-04-04,100.0
2001-04-06,21.4286
2001-04-23,-17.647100000000002
2001-05-01,78.5714
2001-07-12,-84.0
2001-07-17,-25.0
2001-07-26,0.0
2001-11-08,-33.3333
2001-12-24,-30.0
2002-03-18,0.0
2002-04-17,-28.5714
2002-08-20,0.0
2002-09-30,0.0
2002-10-11,0.0
2002-11-13,0.0
2002-11-21,-40.0
2002-12-11,66.6667
2003-01-17,-90.0
2003-04-01,0.0
2003-06-25,0.0
2003-08-06,300.0
2003-08-18,-50.0
2003-08-20,0.0
2003-08-21,0.0
2003-11-06,0.0
2003-11-12,0.0
2003-11-18,0.0
2003-12-03,0.0
2004-03-09,-50.0
2004-03-15,0.0
2004-05-06,0.0
2004-05-18,0.0
2004-06-09,0.0
2004-07-13,0.0
2004-07-28,0.0
2005-02-25,-37.5
2005-06-27,60.0
2005-06-30,0.0
