ticker,LINUF US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2008-09-12,0.7722
2008-09-16,-0.5747
2008-09-18,0.0
2008-09-24,-0.7707
2008-09-25,0.0
2008-10-02,-0.9709
2008-10-03,-1.9607999999999999
2008-10-06,-8.0
2008-10-07,-6.087
2008-10-08,-1.3889
2008-10-09,3.2864
2008-10-10,-3.4091
2008-10-13,5.8824
2008-10-14,1.1111
2008-10-16,0.0
2008-10-31,3.5164999999999997
2008-11-19,-2.3355
2008-11-20,0.0
2008-11-25,4.3478
2008-12-02,-3.125
2008-12-04,1.0753
2008-12-12,-1.9149
2008-12-19,1.9523000000000001
2008-12-22,-2.1277
2008-12-23,0.0
2008-12-24,1.087
2008-12-31,3.0108
2009-01-02,-1.8789
2009-01-05,11.7021
2009-01-06,0.0
2009-01-09,-4.381
2009-01-14,-0.3984
2009-01-16,0.2
2009-01-22,0.0
2009-02-03,0.3992
2009-02-11,0.994
2009-02-18,1.3780000000000001
2009-02-19,-0.1942
2009-02-25,1.1673
2009-02-26,0.0
2009-03-03,0.0
2009-03-09,-0.1923
2009-03-11,0.0
2009-04-01,0.1927
2009-04-09,-2.3077
2009-04-13,18.1102
2009-04-14,-11.6667
2009-04-21,-1.8868
2009-04-24,0.0
2009-04-29,0.0
2009-05-05,0.9615
2009-05-19,1.7143000000000002
2009-05-20,0.0
2009-05-27,0.0
2009-05-29,1.1236
2009-06-04,0.0
2009-06-05,0.0
2009-06-08,0.0
2009-06-11,0.0
2009-06-12,0.0
2009-06-17,0.1852
2009-06-18,0.0
2009-06-22,-0.1848
2009-06-25,0.0
2009-06-26,0.9259
2009-07-16,-0.367
2009-07-28,0.7366
2009-07-29,2.3766
2009-08-18,-2.3214
2009-08-20,1.6453
2009-08-21,0.1799
2009-08-24,0.0
2009-08-25,-0.8079
2009-09-01,0.4525
2009-09-03,-0.5405
2009-09-04,0.7246
2009-09-08,0.0
2009-09-09,0.0
2009-09-14,0.0
2009-09-18,0.5396
2009-09-22,-1.9678
2009-09-23,0.7299
2009-09-24,0.0
2009-09-25,0.1812
2009-09-28,-0.5425
2009-09-29,0.3636
2009-09-30,0.0
2009-10-01,-0.1812
2009-10-02,0.363
2009-10-05,-0.1808
2009-10-06,0.1812
2009-10-07,-0.1808
2009-10-08,0.0
2009-10-13,3.0797
2009-10-14,-0.1757
2009-10-16,0.3521
2009-10-19,0.0
2009-10-20,0.8772
2009-10-22,0.3478
2009-10-23,0.5199
2009-10-27,-0.8621
2009-10-29,0.8696
