ticker,CGHC US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2001-10-26,-99.9992
2007-03-16,-87.5
2007-04-18,39900.0
2007-04-27,-80.0
2007-05-15,100.0
2007-06-08,0.0
2007-06-18,150.0
2007-06-19,100.0
2007-06-20,0.0
2007-06-21,-50.0
2007-06-28,-40.0
2007-07-02,166.6667
2007-07-03,0.0
2007-07-05,-61.25
2007-07-06,12.9032
2007-07-10,-14.2857
2007-07-11,0.0
2007-07-13,0.0
2007-07-18,365.4167
2007-07-19,43.2408
2007-07-20,-42.0
2007-07-23,29.3103
2007-07-24,59.3333
2007-07-25,-16.318
2007-07-26,-10.0
2007-07-27,38.8889
2007-07-31,-52.0
2007-08-01,-8.3333
2007-08-02,-9.0909
2007-08-03,0.0
2007-08-06,-20.0
2007-08-07,-25.0
2007-08-09,0.0
2007-08-10,0.0
2007-08-14,0.0
2007-08-15,0.0
2007-08-17,83.3333
2007-08-20,27.2727
2007-08-24,3.5714
2007-08-28,-37.931
2007-08-29,0.0
2007-08-30,-44.4444
2007-09-06,194.0
2007-09-07,2.0408
2007-09-12,0.0
2007-09-14,-20.0
2007-09-25,-25.0
2007-09-28,31.9444
2007-10-02,-5.2632
2007-10-03,38.8889
2007-10-24,-60.0
2007-10-25,5.0
2007-11-06,23.8095
2007-11-09,-6.1538
2007-11-13,0.0
2007-12-04,-26.2295
2007-12-11,33.3333
2007-12-17,-8.3333
2007-12-28,0.0
2007-12-31,9.0909
2008-01-08,-15.0
2008-01-24,-60.7843
2008-01-25,140.0
2008-01-28,4.1667
2008-02-01,-20.0
2008-02-04,0.0
2008-02-08,0.0
2008-02-13,0.0
2008-02-20,0.0
2008-03-03,-50.0
2008-03-04,100.0
2008-03-18,-46.25
2008-03-19,0.0
2008-04-15,-53.4884
2008-04-17,100.0
2008-04-22,-50.0
2008-04-23,200.0
2008-04-24,0.0
2008-04-25,0.0
2008-04-28,-60.0
2008-04-29,150.0
2008-04-30,0.0
2008-05-05,0.0
2008-05-15,0.0
2008-05-27,-66.6667
2008-05-28,200.0
2008-06-17,-3.3333
2008-06-19,-65.5172
2008-06-25,-50.0
2008-07-17,400.0
2008-07-22,0.0
2008-07-25,-80.0
2008-07-28,400.0
2008-07-29,8.0
2008-07-30,-62.963
2008-09-10,4.0
2008-09-11,15.3846
2008-09-25,-50.0
2008-10-01,0.0
2008-10-21,100.0
2008-10-23,0.0
2008-10-30,0.0
2008-11-05,0.0
2008-11-06,0.0
2008-11-07,0.0
2008-11-13,0.0
