ticker,CYPE US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2006-07-05,16.9014
2006-07-06,92.7711
2006-08-08,25.0
2006-08-09,40.0
2006-08-22,0.0
2006-09-08,0.0
2006-09-12,-5.5
2006-10-05,-17.9894
2006-11-10,3.2258
2006-11-15,13.75
2006-11-17,40.1099
2006-11-20,0.0
2006-11-21,0.7843
2006-11-22,0.0
2006-11-24,-2.7237
2006-11-27,-2.0
2006-11-28,7.3469
2006-11-29,-1.1407
2006-11-30,1.1538
2006-12-01,-1.1407
2006-12-04,0.7692
2006-12-05,4.5802
2006-12-06,2.9196999999999997
2006-12-07,4.6099
2006-12-08,-1.6949
2006-12-11,6.5517
2006-12-12,-2.9126
2006-12-13,-0.6667
2006-12-14,0.6711
2006-12-15,-3.0
2006-12-18,1.3746
2006-12-19,6.7797
2006-12-20,6.3492
2006-12-21,-0.2985
2006-12-22,-10.1796
2006-12-26,-6.6667
2006-12-27,16.0714
2006-12-28,-0.3077
2006-12-29,-1.8519
2007-01-03,-5.6604
2007-01-04,-2.3333
2007-01-05,-6.1433
2007-01-08,-25.4545
2007-01-09,-2.9268
2007-01-10,6.0302
2007-01-11,-14.6919
2007-01-12,8.3333
2007-01-16,33.3333
2007-01-17,-3.8462
2007-01-18,14.0
2007-01-19,0.0
2007-01-22,2.4561
2007-01-23,2.0548
2007-01-24,-1.0067
2007-01-25,0.0
2007-01-26,-1.6949
2007-01-29,1.3793
2007-01-30,-1.7006999999999999
2007-01-31,-1.3841
2007-02-01,-2.807
2007-02-02,-2.5271
2007-02-05,-17.7778
2007-02-06,-0.9009
2007-02-07,-0.4545
2007-02-08,-8.6758
2007-02-09,2.0
2007-02-12,-0.4902
2007-02-13,0.4926
2007-02-14,0.4902
2007-02-15,-4.878
2007-02-16,4.6154
2007-02-20,-2.9412000000000003
2007-02-21,3.5354
2007-02-22,-2.439
2007-02-23,-2.5
2007-02-26,2.0513
2007-02-27,-2.0101
2007-02-28,0.0
2007-03-01,-2.5641
2007-03-02,2.6316
2007-03-05,-2.5641
2007-03-06,6.3158
2007-03-07,-0.9901
2007-03-08,1.0
2007-03-09,0.0
2007-03-12,-3.4653
2007-03-13,2.5641
2007-03-14,1.0
2007-03-15,-0.495
2007-03-16,0.995
2007-03-19,-0.9852
2007-03-20,0.995
2007-03-21,3.9409
2007-03-22,4.2654
2007-03-23,-1.3636
2007-03-26,-0.4608
2007-03-27,0.9259
2007-03-28,-5.5046
2007-03-29,-12.6214
2007-03-30,-13.3333
