ticker,ZKIN US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2017-09-01,69.0
2017-09-05,12.2485
2017-09-06,8.2762
2017-09-07,-13.7293
2017-09-08,-6.0948
2017-09-11,-4.8077
2017-09-12,-0.1263
2017-09-13,1.1378
2017-09-14,-1.0
2017-09-15,2.904
2017-09-18,-0.6135
2017-09-19,1.9752999999999998
2017-09-20,2.7845
2017-09-21,-0.1178
2017-09-22,-1.533
2017-09-25,0.8383
2017-09-26,-0.5938
2017-09-27,2.3895
2017-09-28,0.5834
2017-09-29,0.6961
2017-10-02,-0.3456
2017-10-03,-1.7341
2017-10-04,-0.7059
2017-10-05,0.7109
2017-10-06,2.2353
2017-10-09,0.4603
2017-10-10,5.9565
2017-10-11,0.8649
2017-10-12,0.8574
2017-10-13,4.8884
2017-10-16,-10.0648
2017-10-17,-8.6362
2017-10-18,-1.3564
2017-10-19,2.0
2017-10-20,0.8578
2017-10-23,-4.2527
2017-10-24,-1.5228000000000002
2017-10-25,-12.2423
2017-10-26,1.0279
2017-10-27,-0.5814
2017-10-30,0.8772
2017-10-31,2.8986
2017-11-01,0.7042
2017-11-02,2.5175
2017-11-03,0.1364
2017-11-06,1.9074
2017-11-07,-0.8021
2017-11-08,-2.1563
2017-11-09,0.9642
2017-11-10,1.0914
2017-11-13,0.4049
2017-11-14,0.8065
2017-11-15,-0.6667
2017-11-16,0.6711
2017-11-17,2.2667
2017-11-20,0.7823
2017-11-21,0.3881
2017-11-22,-1.2887
2017-11-24,0.1305
2017-11-27,1.1734
2017-11-28,-0.9021
2017-11-29,1.6905000000000001
2017-11-30,0.1279
2017-12-01,0.7663
2017-12-04,0.2522
2017-12-05,-1.3894
2017-12-06,2.1795
2017-12-07,3.5132
2017-12-08,-0.9273
2017-12-11,-1.3886
2017-12-12,0.6203
2017-12-13,-0.7398
2017-12-14,1.9876
2017-12-15,-1.0962
2017-12-18,3.3251
2017-12-19,0.5959
2017-12-20,1.0664
2017-12-21,1.4068
2017-12-22,1.0405
2017-12-26,2.0595
2017-12-27,2.13
2017-12-28,10.8672
2017-12-29,-2.9703
2018-01-02,17.0408
2018-01-03,0.2616
2018-01-04,0.6087
2018-01-05,-1.2965
2018-01-08,5.8669
2018-01-09,0.1654
2018-01-10,-6.2758
2018-01-11,-6.3436
2018-01-12,-0.1881
2018-01-16,-7.6343
2018-01-17,-8.6735
2018-01-18,9.162
2018-01-19,3.48
2018-01-22,0.0
2018-01-23,2.6706
2018-01-24,0.578
