ticker,FHLB US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2007-02-08,0.0
2007-02-21,10.0
2007-02-22,4.5455
2007-02-23,0.0
2007-02-26,0.0
2007-03-02,2.1739
2007-03-05,-12.3404
2007-03-07,0.9709
2007-03-14,-3.8462
2007-03-15,2.0
2007-03-19,-0.9804
2007-03-20,0.9901
2007-03-21,0.0
2007-04-10,-0.4902
2007-04-17,18.2266
2007-04-18,-12.5
2007-04-20,0.4762
2007-05-02,7.109
2007-05-03,-4.8673
2007-05-09,-2.2326
2007-05-11,2.2835
2007-05-15,0.0
2007-05-17,0.0
2007-05-21,4.186
2007-05-22,2.6786
2007-06-08,-2.1739
2007-06-11,-6.6667
2007-06-14,-2.3810000000000002
2007-06-15,10.0488
2007-07-02,-2.4823
2007-07-05,2.2727
2007-07-13,-6.6667
2007-07-16,3.3333
2007-07-18,-3.2258
2007-07-26,-2.3810000000000002
2007-07-27,1.9512
2007-08-08,0.4785
2007-08-14,0.0
2007-08-15,0.0
2007-08-17,-2.8571
2007-08-20,2.9412000000000003
2007-08-21,-3.3333
2007-08-22,-0.4926
2007-08-27,-0.495
2007-08-29,2.4876
2007-08-30,1.9417
2007-09-12,0.4762
2007-09-21,1.4218
2007-10-04,-6.5421
2007-10-08,7.1
2007-10-12,-1.9607999999999999
2007-10-15,-0.9524
2007-10-18,0.0
2007-10-22,-1.4423
2007-10-25,-7.3171
2007-10-31,5.2632
2007-11-08,-7.5
2007-11-14,5.4054
2007-11-29,0.0
2007-11-30,0.0
2007-12-17,3.0769
2007-12-19,-10.4478
2007-12-20,-2.7778
2007-12-21,-5.7143
2007-12-24,0.0
2007-12-28,0.0
2007-12-31,-1.8182
2008-01-02,0.0
2008-01-04,14.1975
2008-01-10,-10.8108
2008-01-14,1.2121
2008-01-25,-0.5988
2008-01-28,5.4217
2008-02-11,0.0
2008-02-22,0.0
2008-02-26,0.5714
2008-03-05,-3.4091
2008-03-13,0.0
2008-04-08,-1.1764999999999999
2008-04-10,1.1905000000000001
2008-04-28,-5.8824
2008-05-12,-6.25
2008-05-13,0.0
2008-05-23,0.0
2008-06-02,0.6667
2008-06-06,5.9603
2008-06-09,6.25
2008-06-12,-8.8235
2008-06-16,9.6774
2008-07-01,-8.8235
2008-07-07,35.4839
2008-07-08,-22.8571
2008-07-09,0.0
2008-07-16,-1.2346
2008-07-17,-6.25
2008-07-21,6.6667
2008-07-23,-6.25
2008-07-31,4.0
2008-08-07,-3.8462
2008-08-21,-3.3333
