ticker,ATUS US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2017-06-22,9.0333
2017-06-23,4.8609
2017-06-26,-1.1662
2017-06-27,-3.0678
2017-06-28,0.1522
2017-06-29,-0.6989
2017-06-30,-1.1628
2017-07-03,-1.2384
2017-07-05,-2.1944
2017-07-06,2.1795
2017-07-07,1.788
2017-07-10,-0.5547
2017-07-11,-1.6114000000000002
2017-07-12,0.4724
2017-07-13,-1.0972
2017-07-14,0.7607
2017-07-17,0.3775
2017-07-18,0.3134
2017-07-19,-1.1559
2017-07-20,-0.6321
2017-07-21,-1.0814
2017-07-24,-0.4502
2017-07-25,0.3876
2017-07-26,1.6731
2017-07-27,7.2152
2017-07-28,-3.8666
2017-07-31,2.6712
2017-08-01,1.1065
2017-08-02,-3.5197000000000003
2017-08-03,-0.8277
2017-08-04,0.4019
2017-08-07,-4.3103
2017-08-08,-0.0965
2017-08-09,0.1288
2017-08-10,-0.1608
2017-08-11,1.4497
2017-08-14,-0.4763
2017-08-15,-1.0211
2017-08-16,-1.5152
2017-08-17,-0.6874
2017-08-18,0.2307
2017-08-21,1.0194
2017-08-22,0.4557
2017-08-23,0.0972
2017-08-24,-0.6475
2017-08-25,-0.0326
2017-08-28,1.206
2017-08-29,-0.6441
2017-08-30,0.4862
2017-08-31,-1.5806
2017-09-01,-0.0328
2017-09-05,-1.6066
2017-09-06,0.933
2017-09-07,-3.4335
2017-09-08,-3.6239
2017-09-11,1.6673
2017-09-12,2.9309
2017-09-13,0.6441
2017-09-14,-0.7073
2017-09-15,-7.3948
2017-09-18,-2.1245
2017-09-19,1.0105
2017-09-20,1.3338
2017-09-21,-1.4990999999999999
2017-09-22,1.3363
2017-09-25,1.3553
2017-09-26,0.0723
2017-09-27,0.5778
2017-09-28,-3.0521
2017-09-29,1.1481
2017-10-02,0.8056
2017-10-03,-1.0171
2017-10-04,-0.844
2017-10-05,4.5152
2017-10-06,-1.0977
2017-10-09,-2.5421
2017-10-10,-1.7267000000000001
2017-10-11,-3.3271
2017-10-12,-2.7456
2017-10-13,-2.2664
2017-10-16,0.0814
2017-10-17,-0.4472
2017-10-18,0.6533
2017-10-19,3.5294
2017-10-20,1.9592
2017-10-23,-1.6141
2017-10-24,-1.9141
2017-10-25,1.1549
2017-10-26,-5.9843
2017-10-27,-0.7956
2017-10-30,-0.7176
2017-10-31,0.6803
2017-11-01,5.3209
2017-11-02,-1.7642
2017-11-03,-7.7959
2017-11-06,5.8433
2017-11-07,-3.555
