ticker,XSVT US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2010-11-08,0.0
2011-01-11,0.0
2011-01-13,116.6667
2011-01-31,-53.8462
2011-02-03,108.3333
2011-02-04,0.0
2011-02-08,-8.3333
2011-03-02,-36.3636
2011-03-28,-14.2857
2011-04-25,10.0
2011-05-17,-9.0909
2011-06-09,0.0
2011-07-21,-3.3333
2011-07-22,0.0
2011-07-28,0.0
2011-07-29,0.0
2011-10-13,0.0
2011-11-28,-44.8276
2011-11-29,62.5
2011-12-07,-22.3077
2011-12-19,0.0
2012-06-01,-75.2475
2013-10-22,-97.95
2015-04-09,17.0732
2016-05-03,694.7917
2016-05-04,2311.5334
2016-05-06,-98.2609
2017-08-07,150.0
2017-08-25,0.0
2019-01-17,1900.0
2019-02-20,0.0
2019-06-26,0.0
2020-04-08,-49.0
2020-06-08,0.0
2020-06-17,0.0
