ticker,WBZB US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2019-05-09,1.0453
2019-05-15,0.0
2019-05-17,0.0
2019-05-21,0.0007
2019-05-23,-0.0007
2019-06-03,0.0
2019-06-14,0.0
2019-06-17,1.3793
2019-06-18,-0.6803
2019-06-25,-0.6849
2019-07-02,0.0
2019-07-11,0.0
2019-07-24,0.069
2019-07-30,0.0
2019-08-01,-0.0689
2019-08-13,0.0
2019-08-19,0.0
2019-08-30,3.4483
2019-09-05,-3.3333
2019-09-16,17.2414
2019-10-04,-11.7647
2019-10-15,6.6667
2019-10-28,1.0625
2019-12-17,0.4947
2019-12-20,0.0615
2019-12-23,0.246
2019-12-31,0.6135
2020-02-05,0.3659
2020-02-07,1.3973
2020-02-11,0.0599
2020-02-20,0.2994
2020-02-21,0.0
2020-02-27,-0.2985
2020-02-28,-1.1976
2020-03-05,-0.4848
2020-03-09,-4.6894
2020-03-10,0.0
2020-03-12,0.0
2020-03-18,0.0
2020-03-19,0.0
2020-03-20,0.0
2020-03-26,-4.1534
2020-03-30,0.0
2020-03-31,0.0
2020-04-02,0.0
2020-04-20,-6.6667
2020-04-21,0.0
2020-04-22,0.0
2020-04-23,0.0
2020-04-27,3.5714
2020-05-14,-3.4483
2020-07-02,0.0
2020-07-23,0.0
2020-07-27,1.7856999999999998
