ticker,TRST US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-1.8868
2000-01-04,-8.6538
2000-01-05,2.1053
2000-01-06,-2.5773
2000-01-07,5.291
2000-01-10,-1.7588
2000-01-11,-1.7903
2000-01-12,-1.5625
2000-01-13,15.873
2000-01-14,-10.5023
2000-01-18,2.0408
2000-01-19,0.25
2000-01-20,4.2394
2000-01-21,-4.3062000000000005
2000-01-24,1.25
2000-01-25,-2.963
2000-01-26,3.8167999999999997
2000-01-27,-3.9215999999999998
2000-01-28,-1.7856999999999998
2000-01-31,0.2597
2000-02-01,-0.5181
2000-02-02,3.125
2000-02-03,-2.0202
2000-02-04,0.5155
2000-02-07,-1.0256
2000-02-08,0.5181
2000-02-09,0.0
2000-02-10,0.0
2000-02-11,-0.5155
2000-02-14,-0.7772
2000-02-15,-0.2611
2000-02-16,-1.0471
2000-02-17,-3.7037
2000-02-18,1.6484
2000-02-22,-5.9459
2000-02-23,5.1724
2000-02-24,-2.7321999999999997
2000-02-25,-1.6854
2000-02-28,0.2857
2000-02-29,1.1396
2000-03-01,0.0
2000-03-02,-1.1268
2000-03-03,3.1339
2000-03-06,10.4972
2000-03-07,-2.0
2000-03-08,1.2245
2000-03-09,-4.0816
2000-03-10,-4.2553
2000-03-13,0.0
2000-03-14,0.0
2000-03-15,1.6667
2000-03-16,6.0109
2000-03-17,-1.0309
2000-03-20,0.0
2000-03-21,4.9479
2000-03-22,1.9851
2000-03-23,-8.5158
2000-03-24,3.7234
2000-03-27,-0.5128
2000-03-28,-3.0928
2000-03-29,3.1915
2000-03-30,0.0
2000-03-31,-3.6082
2000-04-03,3.7433
2000-04-04,3.0928
2000-04-05,-1.5
2000-04-06,-1.5228000000000002
2000-04-07,-1.5464
2000-04-10,-1.0471
2000-04-11,-1.0582
2000-04-12,0.5348
2000-04-13,1.5957
2000-04-14,0.0
2000-04-17,-3.6649000000000003
2000-04-18,0.0
2000-04-19,-0.5435
2000-04-20,-2.7321999999999997
2000-04-24,-4.4944
2000-04-25,4.7059
2000-04-26,2.5281000000000002
2000-04-27,2.4657999999999998
2000-04-28,2.1390000000000002
2000-05-01,0.5236
2000-05-02,-5.9896
2000-05-03,1.9391
2000-05-04,2.1739
2000-05-05,2.1277
2000-05-08,-0.5208
2000-05-09,0.5236
2000-05-10,-1.0417
2000-05-11,3.1579
2000-05-12,0.5102
2000-05-15,0.5076
2000-05-16,-1.0101
2000-05-17,-3.0612
2000-05-18,-2.1053
2000-05-19,-1.6129
