ticker,IMSU US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2007-07-05,16.8182
2007-07-06,0.3891
2007-07-09,-3.1008
2007-07-12,-0.8
2007-07-13,4.8387
2007-07-26,-11.538499999999999
2007-08-13,-21.7391
2007-08-20,-16.6667
2007-08-22,13.3333
2007-08-27,-11.7647
2007-09-19,-29.3333
2007-09-24,-15.0943
2007-09-26,11.1111
2007-09-27,22.0
2007-09-28,22.9508
2007-10-02,-20.0
2007-10-03,25.0
2007-10-11,6.6667
2007-10-15,0.0
2007-10-16,-11.25
2007-10-24,12.6761
2007-11-14,-18.75
2007-11-15,-3.0769
2007-11-20,3.9683
2007-11-21,16.0305
2007-11-23,63.1579
2007-11-27,-18.5484
2007-11-28,-15.8416
2007-12-10,0.0
2007-12-13,-5.8824
2007-12-21,5.0
2008-01-02,-34.5238
2008-01-04,16.3636
2008-01-08,17.1875
2008-01-10,0.0
2008-01-17,-26.6667
2008-01-23,27.2727
2008-01-24,-14.2857
2008-01-28,41.6667
2008-01-29,-11.7647
2008-02-04,-6.6667
2008-02-13,35.7143
2008-02-14,-26.3158
2008-02-19,7.1429
2008-03-06,-1.3333
2008-03-12,-43.2432
2008-03-14,76.1905
2008-04-09,8.1081
2008-04-17,1.25
2008-04-29,-44.4444
2008-05-15,80.0
2008-05-20,23.4568
2008-05-21,1.0
2008-06-13,-35.6436
2008-06-16,0.0
2008-06-17,44.6154
2008-06-19,5.3191
2008-06-25,-24.2424
2008-06-26,0.0
2008-07-02,0.0
2008-07-08,5.3333
2008-07-15,-11.3924
2008-07-21,21.4286
2008-07-24,0.0
2008-07-25,0.0
2008-07-29,0.0
2008-07-30,0.0
2008-07-31,-10.5882
2008-08-12,-7.8947
2008-08-21,7.1429
2008-08-22,0.0
2008-08-25,0.0
2008-08-28,6.6667
2008-08-29,6.25
2008-09-03,-11.7647
2008-09-04,-13.3333
2008-09-05,-7.6923
2008-09-08,0.0
2008-09-15,-8.3333
2008-10-08,-36.3636
2008-10-14,8.5714
2008-10-17,18.4211
2008-10-22,11.1111
2008-10-28,-10.0
2008-11-07,-11.1111
2008-11-10,0.0
2008-11-11,-37.5
2008-11-12,60.0
2008-12-09,-50.0
2008-12-10,125.0
2009-01-02,-2.2222
2009-01-09,-65.9091
2009-01-12,66.6667
2009-01-13,-20.0
2009-01-14,25.0
2009-01-15,16.0
2009-01-16,13.7931
2009-01-20,21.2121
2009-01-21,12.5
2009-01-22,-11.1111
2009-01-26,7.5
2009-01-27,27.907
