ticker,FUTU US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2019-03-08,27.6667
2019-03-11,9.6606
2019-03-12,-2.3810000000000002
2019-03-13,-3.8415
2019-03-14,10.9702
2019-03-15,2.8571
2019-03-18,3.1667
2019-03-19,-1.454
2019-03-20,-6.4481
2019-03-21,1.9276
2019-03-22,-1.49
2019-03-25,-1.8615
2019-03-26,0.8892
2019-03-27,7.3443
2019-03-28,-1.9704000000000002
2019-03-29,3.4059
2019-04-01,0.54
2019-04-02,-5.3706
2019-04-03,0.9081
2019-04-04,-3.7683
2019-04-05,0.1169
2019-04-08,-1.9264000000000001
2019-04-09,-1.3094999999999999
2019-04-10,-3.4981999999999998
2019-04-11,4.875
2019-04-12,-3.0989
2019-04-15,0.0
2019-04-16,3.567
2019-04-17,-6.1758
2019-04-18,-1.2658
2019-04-22,-3.6538
2019-04-23,0.4657
2019-04-24,-2.649
2019-04-25,-6.3946
2019-04-26,6.3953
2019-04-29,-2.2541
2019-04-30,-2.5157
2019-05-01,-1.4337
2019-05-02,-0.7273
2019-05-03,4.3223
2019-05-06,-2.5983
2019-05-07,-1.1536
2019-05-08,0.8753
2019-05-09,-3.0369
2019-05-10,0.0746
2019-05-13,-6.7809
2019-05-14,-3.4373
2019-05-15,5.7119
2019-05-16,-4.3853
2019-05-17,-8.9271
2019-05-20,6.5647
2019-05-21,4.0506
2019-05-22,-8.5158
2019-05-23,1.6844000000000001
2019-05-24,0.5231
2019-05-28,-3.9896000000000003
2019-05-29,4.607
2019-05-30,-0.5181
2019-05-31,-4.6875
2019-06-03,-6.8306000000000004
2019-06-04,3.2258
2019-06-05,-7.6705
2019-06-06,-1.2308
2019-06-07,-0.5192
2019-06-10,4.9061
2019-06-11,0.8955
2019-06-12,-5.1282
2019-06-13,0.3119
2019-06-14,-1.0363
2019-06-17,3.3508
2019-06-18,3.6474
2019-06-19,-2.1505
2019-06-20,0.3996
2019-06-21,3.9801
2019-06-24,-5.0718
2019-06-25,0.2016
2019-06-26,2.4145
2019-06-27,1.8664
2019-06-28,1.9285999999999999
2019-07-01,-0.2838
2019-07-02,2.277
2019-07-03,2.0408
2019-07-05,-1.9091
2019-07-08,-1.5755
2019-07-09,6.968
2019-07-10,-3.6972
2019-07-11,-1.3711
2019-07-12,1.0195
2019-07-15,0.6422
2019-07-16,2.5524
2019-07-17,0.8889
2019-07-18,-2.8194
2019-07-19,1.2692999999999999
2019-07-22,0.0895
2019-07-23,1.1628
2019-07-24,0.5305
