ticker,TOTAU US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2018-08-03,-0.0987
2018-08-06,0.0988
2018-08-07,0.2962
2018-08-08,0.4921
2018-08-10,-0.3918
2018-08-14,-0.295
2018-08-16,0.0
2018-08-20,0.3945
2018-08-22,0.4912
2018-08-24,0.0
2018-08-27,-0.2933
2018-08-28,0.1314
2018-08-29,-0.0333
2018-08-30,0.049
2018-08-31,-0.0489
2018-09-04,0.1959
2018-09-12,0.4888
2018-09-13,0.6809
2018-09-14,0.4831
2018-09-17,0.0
2018-09-18,0.0
2018-09-20,0.4808
2018-09-21,10.1435
2018-09-24,-6.603
2018-09-26,-3.7209
2018-09-27,-0.3865
2018-09-28,0.679
2018-10-04,-0.4817
2018-10-08,-0.1936
2018-10-11,0.291
2018-10-15,-0.1934
2018-10-16,0.2907
2018-10-19,-0.3961
2018-10-22,-0.2813
2018-10-25,0.0195
2018-10-29,0.0778
2018-10-30,-0.3887
2018-11-01,0.2927
2018-11-02,0.0973
2018-11-06,-0.1944
2018-11-07,-0.8763
2018-11-08,0.0
2018-11-15,0.1965
2018-11-26,0.7843
2018-11-27,0.0
2018-11-28,0.0
2018-11-30,-0.6809
2018-12-04,-0.0979
2018-12-06,2.451
2018-12-13,-4.0191
2018-12-20,1.1964
2018-12-21,0.2956
2018-12-26,0.0982
2018-12-27,0.0
2018-12-28,0.0883
2019-01-02,0.0098
2019-01-04,0.0
2019-01-22,0.3922
2019-01-25,0.4883
2019-01-28,1.1662
2019-04-01,0.0961
2019-05-31,-1.6315
2019-08-20,1.1707
2019-08-30,1.2536
2019-10-31,0.9524
2019-11-01,-0.6604
2020-01-29,1.5194999999999999
2020-03-09,-1.7774
2020-07-13,4.7619
