ticker,PSCR US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2012-04-13,177.2727
2016-05-20,-93.1148
2016-08-22,519.0476
2016-08-24,65.3846
2016-08-25,-6.9767
2016-09-30,37.5
2016-10-05,9.0909
2016-10-06,66.6667
2016-10-11,-42.0
2016-10-12,0.6897
2016-10-21,242.4658
2016-11-23,-68.0
2016-11-30,0.0
2016-12-05,59.375
2016-12-14,0.0
2016-12-15,20.5882
2016-12-16,21.7886
2016-12-19,9.3458
2016-12-20,6.2271
2016-12-21,7.9167
2016-12-22,-14.7916
2016-12-23,10.0
2016-12-27,-3.4091
2016-12-28,1.1764999999999999
2016-12-29,2.3256
2016-12-30,6.8182
2017-01-03,4.7872
2017-01-04,6.599
2017-01-05,10.4762
2017-01-06,8.6207
2017-01-09,3.1746
2017-01-10,3.8462
2017-01-11,5.1852
2017-01-12,14.0845
2017-01-13,10.4938
2017-01-17,2.7933
2017-01-18,3.2609
2017-01-19,8.9474
2017-01-20,2.8986
2017-01-23,1.4085
2017-01-24,-3.7037
2017-01-25,0.0
2017-01-26,-37.5
2017-01-27,-65.3846
2017-01-30,-44.6667
2017-01-31,-36.1446
2017-02-01,31.4465
2017-02-02,-18.6603
2017-02-03,-17.647100000000002
2017-02-06,-28.5714
2017-02-07,-25.1875
2017-02-08,-9.1061
2017-02-09,-7.3529
2017-02-10,-11.1111
2017-02-13,-0.8929
2017-02-14,3.6036
2017-02-15,4.3478
2017-02-16,100.0
2017-02-17,0.0
2017-02-21,-16.6667
2017-02-22,-20.0
2017-02-23,37.5
2017-02-24,9.0909
2017-02-27,4.8958
2017-02-28,3.2771
2017-03-01,0.0
2017-03-02,7.6923
2017-03-03,-22.8571
2017-03-06,-8.3333
2017-03-07,-14.1414
2017-03-08,17.647100000000002
2017-03-09,-9.0
2017-03-10,-1.0989
2017-03-13,-1.1111
2017-03-14,0.1404
2017-03-15,-5.3296
2017-03-16,-5.3333
2017-03-17,0.1565
2017-03-20,-9.375
2017-03-21,0.0
2017-03-22,2.3276
2017-03-23,5.139
2017-03-24,-1.0417
2017-03-27,-2.834
2017-03-28,-13.3333
2017-03-29,-6.1538
2017-03-30,24.3852
2017-03-31,-20.9226
2017-04-03,25.0
2017-04-04,-6.6667
2017-04-05,0.0
2017-04-06,0.0
2017-04-07,-14.2857
2017-04-10,0.0
2017-04-11,0.0
2017-04-12,-8.3333
2017-04-13,-5.4545
2017-04-17,-3.6058
2017-04-18,3.99
2017-04-19,15.1079
2017-04-20,-8.125
